image_index,time,peak_memory,net_memory_change,method,n_segments,n_samples,compactness,sigma,model,dataset,run_number
0,0.5149546451866627,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
1,0.5148083930835128,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
2,0.509380217641592,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
3,0.5116692902520299,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
4,0.520962686277926,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
5,0.5159953655675054,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
6,0.518116157501936,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
7,0.5109867369756103,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
8,0.5152037078514695,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
9,0.515855916775763,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
10,0.5187478382140398,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
11,0.5152199743315578,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
12,0.5101181007921696,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
13,0.5128080425783992,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
14,0.5151838483288884,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
15,0.533847663551569,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
16,0.5174953266978264,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
17,0.5121079310774803,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
18,0.5137798162177205,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
19,0.5128534715622663,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
20,0.515145287849009,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
21,0.5113193886354566,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
22,0.5103859649971128,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
23,0.5164593867957592,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
24,0.5126135116443038,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
25,0.5152215771377087,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
26,0.530515855178237,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
27,0.5188189446926117,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
28,0.5186449689790606,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
29,0.5213195038959384,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
30,0.5139520093798637,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
