image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,4.232723597437143,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
1,4.225526385009289,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
2,4.23025206848979,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
3,4.235654890537262,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
4,4.230724968016148,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
5,4.237935233861208,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
6,4.229272689670324,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
7,4.227996699512005,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
8,4.229673810303211,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
9,4.2272504307329655,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
10,4.236392367631197,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
11,4.225248169153929,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
12,4.242794506251812,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
13,4.226819086819887,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
14,4.238391473889351,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
15,4.237008184194565,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
16,4.22902762517333,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
17,4.236059941351414,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
18,4.228780210018158,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
19,4.2384636625647545,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
20,4.2293431386351585,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
21,4.23617809638381,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
22,4.230942919850349,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
23,4.2266787849366665,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
24,4.239169459789991,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
25,4.232674442231655,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
26,4.229002073407173,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
27,4.2309883534908295,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
28,4.235052723437548,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
29,4.227917864918709,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
30,4.2263209111988544,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
31,4.2315147668123245,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
32,4.2259357534348965,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
33,4.230570707470179,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
34,4.225965216755867,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
35,4.227571878582239,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
36,4.229904528707266,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
37,4.223965458571911,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
38,4.233792167156935,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
39,4.225264735519886,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
40,4.229288887232542,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
41,4.227910552173853,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
42,4.226562678813934,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
43,4.224603187292814,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
44,4.2254280634224415,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
45,4.233637917786837,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
46,4.224753927439451,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
