image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.732226270949468,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
1,0.7310595950111747,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
2,0.7327496060170233,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
3,0.7289984601084143,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
4,0.7448559051845223,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
5,0.733701515942812,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
6,0.7298080690670758,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
7,0.7284007410053164,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
8,0.7287392250727862,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
9,0.7449486590921879,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
10,0.740589892026037,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
11,0.7411946908105165,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
12,0.739122758153826,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
13,0.746716532157734,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
14,0.7311227780301124,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
15,0.7268443999346346,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
16,0.7335465820506215,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
17,0.7374493891838938,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
18,0.7371606449596584,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
19,0.7277173160109669,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
20,0.7295281731057912,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
21,0.7313782088458538,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
22,0.7268118071369827,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
23,0.7310766710434109,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
24,0.7312939148396254,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
25,0.7293688480276614,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
26,0.7284659720025957,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
27,0.7344331110361964,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
28,0.7367841270752251,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
29,0.7239465578459203,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
30,0.7278532979544252,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
31,0.7479772600345314,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
32,0.7266137429978698,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
33,0.7318988379556686,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
34,0.7304890279192477,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
35,0.7286453808192164,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
36,0.7313082600012422,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
37,0.7322610320989043,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
38,0.7355145420879126,14.3525390625,0.19140625,AblationStudies,convnext-t,CIFAR10,1
