image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,4.3113951943814754,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
1,4.304805185645819,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
2,4.313661225140095,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
3,4.30218979716301,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
4,4.326023377478123,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
5,4.309923250228167,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
6,4.337954863905907,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
7,4.319907668977976,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
8,4.328546177595854,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
9,4.322249602526426,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
10,4.321504428982735,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
11,4.327449627220631,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
12,4.334194388240576,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
13,4.346778366714716,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
14,4.3361235819756985,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
15,4.347561169415712,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
16,4.322338722646236,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
17,4.3208877965807915,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
18,4.3321866020560265,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
19,4.326758537441492,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
20,4.33094184845686,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
21,4.326714541763067,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
22,4.330214228481054,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
23,4.355394255369902,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
24,4.3436223939061165,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
25,4.332086902111769,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
26,4.32471501454711,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
27,4.347326509654522,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
28,4.343382503837347,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
29,4.337595019489527,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
30,4.340627491474152,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
31,4.3364845141768456,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
32,4.3381633795797825,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
33,4.351249996572733,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
34,4.35519902408123,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
35,4.339220382273197,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
36,4.332937356084585,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
37,4.341459766030312,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
38,4.340192645788193,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
39,4.327791020274162,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
40,4.348655916750431,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
41,4.337939668446779,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
42,4.327797070145607,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
43,4.3319895304739475,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
44,4.3271998800337315,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
45,4.336655788123608,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
46,4.324245657771826,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
47,4.342946887016296,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
48,4.344321496784687,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
49,4.352777846157551,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
50,4.326780874282122,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
51,4.337797440588474,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
52,4.331674430519342,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
53,4.334894675761461,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
54,4.328731831163168,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
55,4.340135544538498,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
56,4.330616042017937,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
57,4.326327074319124,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
58,4.341924801468849,14.2119140625,0.19140625,AblationStudies,convnext-t,ImageNet,1
