image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.8782129790633917,14.3525390625,0.19140625,AblationStudies,convnext-t,ImageNet,1
1,0.8814016471151263,14.3525390625,0.19140625,AblationStudies,convnext-t,ImageNet,1
2,0.876818226184696,14.3525390625,0.19140625,AblationStudies,convnext-t,ImageNet,1
3,0.8783082910813391,14.3525390625,0.19140625,AblationStudies,convnext-t,ImageNet,1
4,0.8753838229458779,14.3525390625,0.19140625,AblationStudies,convnext-t,ImageNet,1
5,0.8825497520156205,14.3525390625,0.19140625,AblationStudies,convnext-t,ImageNet,1
6,0.8734547179192305,14.3525390625,0.19140625,AblationStudies,convnext-t,ImageNet,1
7,0.8777928869239986,14.3525390625,0.19140625,AblationStudies,convnext-t,ImageNet,1
8,0.8918419070541859,14.3525390625,0.19140625,AblationStudies,convnext-t,ImageNet,1
9,0.8781093650031835,14.3525390625,0.19140625,AblationStudies,convnext-t,ImageNet,1
10,0.8796334830112755,14.3525390625,0.19140625,AblationStudies,convnext-t,ImageNet,1
11,0.8739899760112166,14.3525390625,0.19140625,AblationStudies,convnext-t,ImageNet,1
12,0.895214854972437,14.3525390625,0.19140625,AblationStudies,convnext-t,ImageNet,1
13,0.8875746850389987,14.3525390625,0.19140625,AblationStudies,convnext-t,ImageNet,1
14,0.8848503979388624,14.3525390625,0.19140625,AblationStudies,convnext-t,ImageNet,1
15,0.893616019980982,14.3525390625,0.19140625,AblationStudies,convnext-t,ImageNet,1
16,0.8797620439436287,14.3525390625,0.19140625,AblationStudies,convnext-t,ImageNet,1
17,0.8695818849373609,14.3525390625,0.19140625,AblationStudies,convnext-t,ImageNet,1
18,0.8810986189637333,14.3525390625,0.19140625,AblationStudies,convnext-t,ImageNet,1
19,0.8894727919250727,14.3525390625,0.19140625,AblationStudies,convnext-t,ImageNet,1
20,0.8763622741680592,14.3525390625,0.19140625,AblationStudies,convnext-t,ImageNet,1
21,0.8749386859126389,14.3525390625,0.19140625,AblationStudies,convnext-t,ImageNet,1
22,0.8746013781055808,14.3525390625,0.19140625,AblationStudies,convnext-t,ImageNet,1
23,0.8731178790330887,14.3525390625,0.19140625,AblationStudies,convnext-t,ImageNet,1
24,0.8794810657855123,14.3525390625,0.19140625,AblationStudies,convnext-t,ImageNet,1
25,0.8812446710653603,14.3525390625,0.19140625,AblationStudies,convnext-t,ImageNet,1
26,0.8739652761723846,14.3525390625,0.19140625,AblationStudies,convnext-t,ImageNet,1
27,0.8779061029199511,14.3525390625,0.19140625,AblationStudies,convnext-t,ImageNet,1
28,0.8784469349775463,14.3525390625,0.19140625,AblationStudies,convnext-t,ImageNet,1
29,0.875698657007888,14.3525390625,0.19140625,AblationStudies,convnext-t,ImageNet,1
30,0.8958867760375142,14.3525390625,0.19140625,AblationStudies,convnext-t,ImageNet,1
31,0.8755790900904685,14.3525390625,0.19140625,AblationStudies,convnext-t,ImageNet,1
32,0.8779091539327055,14.3525390625,0.19140625,AblationStudies,convnext-t,ImageNet,1
33,0.8762743549887091,14.3525390625,0.19140625,AblationStudies,convnext-t,ImageNet,1
34,0.872209426946938,14.3525390625,0.19140625,AblationStudies,convnext-t,ImageNet,1
35,0.8748901458457112,14.3525390625,0.19140625,AblationStudies,convnext-t,ImageNet,1
36,0.8820824220310897,14.3525390625,0.19140625,AblationStudies,convnext-t,ImageNet,1
37,0.8752634059637785,14.3525390625,0.19140625,AblationStudies,convnext-t,ImageNet,1
