image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,4.310340199619532,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
1,4.310374356806278,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
2,4.321017228066921,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
3,4.305935710668564,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
4,4.313674334436655,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
5,4.3104829750955105,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
6,4.298652675002813,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
7,4.328907135874033,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
8,4.332550793886185,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
9,4.314354985952377,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
10,4.325959723442793,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
11,4.333891719579697,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
12,4.340419016778469,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
13,4.338838629424572,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
14,4.325916517525911,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
15,4.3065007627010345,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
16,4.325528915971518,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
17,4.31706677749753,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
18,4.320037703961134,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
19,4.327502887696028,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
20,4.327293202280998,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
21,4.3260597586631775,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
22,4.321151819080114,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
23,4.330120664089918,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
24,4.32479128241539,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
25,4.3294034935534,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
26,4.323199283331633,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
27,4.344078604131937,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
28,4.331724867224693,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
29,4.328648395836353,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
30,4.339702259749174,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
31,4.336014933884144,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
32,4.350728794932365,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
33,4.345149293541908,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
34,4.335820555686951,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
35,4.339347183704376,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
36,4.335245840251446,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
37,4.341681178659201,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
38,4.330257415771484,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
39,4.338547874242067,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
40,4.332581486552954,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
41,4.345750439912081,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
42,4.315109934657812,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
43,4.340499747544527,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
44,4.330707088112831,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
45,4.324567042291164,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
46,4.343124911189079,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
47,4.337013587355614,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
48,4.3417449705302715,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
49,4.339351028203964,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
50,4.3523894883692265,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
51,4.339471876621246,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
52,4.351921189576387,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
53,4.337325967848301,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
54,4.340039726346731,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
55,4.342163007706404,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
56,4.331362470984459,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
57,4.34271702542901,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
58,4.335398096591234,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
59,4.334073085337877,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
60,4.336501069366932,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
61,4.331930428743362,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
62,4.35292948782444,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
63,4.352818075567484,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
64,4.346961833536625,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
65,4.341411683708429,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
66,4.343381658196449,13.5556640625,0.19140625,AblationStudies,convnext-t,STL10,1
