image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,6.788328669965267,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
1,7.476490192115307,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
2,6.413912367075682,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
3,6.28144096955657,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
4,6.71468948200345,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
5,7.167002592235804,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
6,6.203538898378611,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
7,7.189452391117811,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
8,7.427773751318455,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
9,6.431934494525194,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
10,8.090330988168716,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
11,7.115277696400881,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
12,7.205357350409031,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
13,7.624838043004274,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
14,7.293422773480415,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
15,8.077718742191792,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
16,7.77964099496603,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
17,7.826068304479122,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
18,6.480451554059982,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
19,7.137699391692877,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
20,6.997155796736479,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
21,7.177239917218685,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
22,7.347003061324358,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
23,7.306494861841202,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
24,7.329215794801712,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
25,8.24505778029561,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
26,6.955955162644386,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
27,6.191381350159645,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
28,6.969195198267698,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
29,6.674694925546646,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
30,6.936588026583195,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
31,7.441985160112381,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
32,6.505717348307371,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
33,6.814657595008612,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
34,6.597400430589914,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
35,7.394529327750206,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
36,6.980237353593111,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
37,6.994633242487907,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
38,7.719196245074272,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
39,6.848706372082233,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
40,7.281440328806639,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
41,7.663430500775576,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
42,6.800271850079298,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
43,6.717976022511721,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
44,7.256863333284855,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
45,6.7971012853085995,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
46,6.857431992888451,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
47,6.8048279993236065,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
48,7.514308545738459,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
49,8.459235731512308,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
50,7.705709658563137,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
51,6.160920239984989,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
52,6.535906862467527,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
53,7.485665075480938,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
54,7.032698195427656,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
55,7.305582337081432,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
56,6.167896647006273,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
57,7.368001639842987,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
58,6.927217349410057,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
59,6.88710955157876,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
60,6.734257411211729,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
61,7.1830421313643456,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
62,7.456448469310999,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
63,6.760537914931774,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
64,8.606203585863113,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
65,7.794534787535667,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
66,6.929885137826204,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
67,7.9685064516961575,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
68,7.651014864444733,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
69,6.432009808719158,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
70,7.37384994700551,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
71,6.419187646359205,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
72,7.095438107848167,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
73,7.04346064850688,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
74,6.644036367535591,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
75,7.096196960657835,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
76,6.975761786103249,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
77,6.06568306311965,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
78,6.553982250392437,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
79,7.170065093785524,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
80,6.5128998681902885,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
81,6.764265537261963,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
82,7.689220234751701,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
83,7.054476756602526,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
84,6.6803408451378345,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
85,6.508642826229334,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
86,6.620709132403135,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
87,6.846671886742115,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
88,6.495761200785637,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
89,6.993955433368683,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
90,7.1739073395729065,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
91,7.105430893599987,11.720703125,0.19140625,AblationStudies,densenet121,CIFAR10,1
