image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,6.482093166559935,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
1,7.335702992975712,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
2,6.771135445684195,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
3,7.064464148133993,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
4,6.403509940952063,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
5,7.399591758847237,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
6,7.010483630001545,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
7,6.503371234983206,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
8,6.69393415004015,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
9,6.672835923731327,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
10,7.491180561482906,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
11,6.457346364855766,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
12,7.413002580404282,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
13,7.117593891918659,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
14,6.58121632784605,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
15,7.260815754532814,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
16,7.444971617311239,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
17,6.433027796447277,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
18,7.520043473690748,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
19,7.973327144980431,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
20,6.599705934524536,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
21,6.842484015971422,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
22,6.599644903093576,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
23,6.310168918222189,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
24,6.493818275630474,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
25,6.93318260088563,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
26,7.366960108280182,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
27,6.392806053161621,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
28,6.9124333672225475,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
29,8.052419569343328,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
30,7.054384533315897,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
31,6.575305975973606,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
32,6.611915625631809,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
33,7.379913993179798,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
34,6.7559969164431095,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
35,6.800768580287695,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
36,6.9835349433124065,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
37,7.246148943901062,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
38,6.7616714015603065,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
39,6.830467194318771,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
40,7.653945475816727,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
41,6.773641183972359,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
42,6.7909143678843975,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
43,6.48177545517683,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
44,6.928208846598864,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
45,7.101317647844553,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
46,7.037529744207859,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
47,7.09060126543045,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
48,7.138892784714699,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
49,7.166712414473295,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
50,7.0186550840735435,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
51,6.527448792010546,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
52,6.865847330540419,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
53,6.309995394200087,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
54,6.659638777375221,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
55,7.214313928037882,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
56,6.785255789756775,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
57,6.831879321485758,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
58,6.534812856465578,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
59,6.488101568073034,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
60,6.347804591059685,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
61,7.116918478161097,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
62,8.40327350795269,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
63,7.046457592397928,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
64,6.644207384437323,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
65,7.392399825155735,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
66,7.5573057644069195,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
67,6.9992190562188625,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
68,7.930908042937517,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
69,7.301711484789848,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
70,7.275650259107351,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
71,6.617953896522522,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
72,7.217221904546022,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
73,7.449311636388302,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
74,7.31196752935648,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
75,7.217337530106306,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
76,6.169837012887001,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
77,6.572384353727102,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
78,6.939980778843164,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
79,7.227058589458466,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
80,7.425198599696159,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
81,6.984330274164677,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
82,7.523797828704119,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
83,7.773960955440998,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
84,7.552426982671022,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
85,6.758309442549944,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
86,7.892976209521294,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
87,6.3383973352611065,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
88,7.264280620962381,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
89,6.901552103459835,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
90,6.334106970578432,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
91,7.494125567376614,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
92,6.724922638386488,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
93,6.896725405007601,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
94,7.080015070736408,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
95,7.001347925513983,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
96,6.2203348614275455,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
97,7.1921074986457825,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
98,7.3062017895281315,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
99,7.193417850881815,12.4658203125,0.19140625,AblationStudies,densenet121,ImageNet,1
