image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,3.021917399019003,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
1,3.0957093089818954,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
2,3.143328908830881,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
3,2.941690508276224,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
4,3.0691955760121346,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
5,3.0550554879009724,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
6,3.0983632132411003,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
7,3.131717823445797,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
8,3.1096682026982307,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
9,3.1009216345846653,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
10,3.0641963481903076,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
11,3.7084725946187973,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
12,6.480950091034174,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
13,6.481409810483456,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
14,6.483709778636694,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
15,6.480735287070274,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
16,4.852303445339203,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
17,3.020487669855356,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
18,3.197393801063299,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
19,6.483022145926952,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
20,5.021377861499786,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
21,2.8824395053088665,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
22,2.8449092395603657,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
23,2.9511486291885376,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
24,2.979801271110773,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
25,2.94357605651021,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
26,2.8606511056423187,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
27,4.1079982072114944,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
28,6.48125571385026,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
29,6.477497134357691,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
30,6.479849584400654,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
31,6.479885820299387,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
32,3.44739193841815,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
33,2.8843957372009754,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
34,3.0582793541252613,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
35,2.9162844456732273,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
36,3.057398982346058,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
37,2.8758597783744335,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
38,5.483520470559597,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
39,6.484483264386654,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
40,6.482197288423777,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
41,4.927642073482275,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
42,2.897442739456892,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
43,2.91996081918478,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
44,2.8726389221847057,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
45,2.9751382134854794,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
46,6.48217860981822,11.5439453125,0.19140625,AblationStudies,densenet121,ImageNet,1
