image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,2.4711001969408244,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
1,2.498897985788062,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
2,2.478576617082581,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
3,2.470829955069348,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
4,2.4738078890368342,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
5,2.498679122887552,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
6,2.5141297678928822,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
7,2.46424620016478,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
8,2.459354768972844,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
9,2.4917301600798965,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
10,2.4656378978397697,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
11,2.4559524599462748,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
12,2.479797320906073,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
13,2.4845968370791525,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
14,2.4686322971247137,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
15,2.4613827150315046,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
16,2.4726177731063217,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
17,2.4924091089051217,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
18,2.486370784929022,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
19,2.509311211993918,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
20,2.474194662179798,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
21,2.482771632960066,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
22,2.4589888758491725,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
23,2.459856652887538,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
24,2.4726140261627734,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
25,2.483847328927368,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
26,2.4688256240915507,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
27,2.467403298942372,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
28,2.4746132909785956,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
29,2.4898695359006524,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
30,2.472195457899943,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
31,2.4667890830896795,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
32,2.4680193411186337,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
33,2.4928439769428223,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
34,2.4604657001327723,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
35,2.4663362910505384,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
36,2.4770119020249695,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
37,2.4824292240664363,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
38,2.460587592795491,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
39,2.476972824893892,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
40,2.4678397541865706,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
41,2.495424013119191,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
42,2.485511729028076,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
43,2.5202276741620153,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
44,2.472482023993507,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
45,2.4930932328570634,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
46,2.4597817161120474,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
47,2.4685665590222925,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
48,2.472466971958056,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
49,2.492300648940727,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
50,2.4594688238576055,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
51,2.4806730959098786,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
52,2.4700576290488243,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
53,2.4957940101157874,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
54,2.5149014429189265,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
55,2.4707234820816666,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
56,2.4692250990774482,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
57,2.493648139992729,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
58,2.463093876838684,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
59,2.460502953035757,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
60,2.474284267053008,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
61,2.4914328078739345,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
62,2.462070622947067,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
63,2.4805476809851825,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
64,2.468478491064161,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
65,2.503209783928469,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
66,2.4855361580848694,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
67,2.514307023026049,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
68,2.490306908963248,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
69,2.496228100033477,135.2900390625,0.19140625,AblationStudies,densenet121,ImageNet,1
