image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,6.84449141100049,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
1,6.519585262984037,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
2,7.025995250791311,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
3,6.954846810549498,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
4,6.950346976518631,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
5,7.5750602632761,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
6,6.7613840363919735,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
7,6.542364154011011,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
8,7.502917170524597,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
9,7.1842785738408566,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
10,6.757271364331245,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
11,8.08399411290884,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
12,6.2712072879076,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
13,6.877419825643301,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
14,7.218535795807838,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
15,6.12348360195756,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
16,7.072127226740122,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
17,7.857070717960596,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
18,8.12802692875266,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
19,7.938722312450409,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
20,6.953518282622099,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
21,6.3998293317854404,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
22,7.771140895783901,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
23,6.613380625844002,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
24,7.693222265690565,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
25,7.322552137076855,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
26,6.734888281673193,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
27,7.235377766191959,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
28,6.944062069058418,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
29,7.59365638718009,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
30,6.899786908179522,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
31,6.596790734678507,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
32,6.895869713276625,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
33,6.541271187365055,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
34,8.180239353328943,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
35,6.833415042608976,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
36,7.177025765180588,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
37,7.401577327400446,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
38,7.616957314312458,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
39,7.0244942009449005,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
40,7.015040002763271,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
41,7.991820611059666,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
42,7.698779541999102,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
43,6.245979715138674,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
44,6.426912557333708,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
45,6.620936129242182,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
46,6.545348208397627,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
47,8.320481237024069,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
48,7.345445763319731,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
49,6.673394691199064,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
50,6.151665713638067,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
51,7.330743182450533,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
52,7.63605485484004,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
53,7.323056749999523,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
54,7.469839554280043,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
55,7.223187144845724,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
56,7.872682187706232,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
57,6.608283124864101,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
58,7.180156908929348,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
59,7.5707080475986,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
60,6.264106407761574,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
61,6.849636867642403,12.4658203125,0.19140625,AblationStudies,densenet121,STL10,1
