image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,3.141237262636423,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
1,3.148771483451128,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
2,3.023306217044592,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
3,5.577836666256189,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
4,6.482824210077524,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
5,6.484606400132179,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
6,3.97781440615654,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
7,3.027085430920124,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
8,3.220623303204775,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
9,3.2391942627727985,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
10,3.1289773620665073,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
11,3.118712894618511,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
12,3.0582075379788876,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
13,3.143912225961685,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
14,3.1896479092538357,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
15,3.104478269815445,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
16,3.25439715385437,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
17,3.1002038344740868,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
18,3.162449087947607,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
19,3.112095296382904,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
20,3.0497071482241154,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
21,3.0853143259882927,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
22,3.563285607844591,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
23,6.484948113560677,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
24,6.483003463596106,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
25,6.484114572405815,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
26,6.503831561654806,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
27,5.188430909067392,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
28,3.0213751308619976,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
29,3.10781592130661,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
30,2.9796725064516068,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
31,3.0641708560287952,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
32,2.9785111844539642,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
33,5.160371519625187,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
34,6.484708476811647,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
35,6.4818852581083775,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
36,3.845040611922741,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
37,3.063967488706112,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
38,3.0993219576776028,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
39,2.9579917639493942,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
40,2.997757241129875,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
41,3.173696741461754,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
42,6.483307853341103,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
43,6.4853195659816265,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
44,6.48306742683053,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
45,5.167585037648678,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
46,3.086084946990013,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
47,3.0489104837179184,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
48,3.002548698335886,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
49,3.0102072209119797,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
50,3.0223810374736786,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
51,3.0393338911235332,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
52,2.9898141771554947,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
53,2.9175342731177807,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
54,2.9230819419026375,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
55,3.0224999487400055,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
56,6.484542813152075,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
57,6.486651141196489,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
58,6.486694239079952,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
59,6.484261553734541,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
60,3.872259508818388,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
61,3.16081652790308,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
62,2.933769565075636,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
63,2.9976542592048645,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
64,6.097342364490032,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
65,6.4849760085344315,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
66,5.946069169789553,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
67,3.0642260387539864,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
68,2.9966654255986214,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
69,2.9480322264134884,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
70,3.0729637444019318,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
71,3.086744125932455,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
72,3.0016077272593975,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
73,2.9600771367549896,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
74,5.171284914016724,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
75,6.48272505775094,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
76,6.482747510075569,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
77,6.4861243180930614,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
78,6.485953610390425,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
79,3.4784094020724297,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
80,2.98757366463542,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
81,3.002671714872122,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
82,5.02923097088933,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
83,6.48816042765975,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
84,3.9144007675349712,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
85,3.130009088665247,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
86,3.0074282251298428,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
87,2.965958345681429,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
88,2.955495823174715,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
89,3.1534630693495274,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
90,3.013692796230316,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
91,2.952058132737875,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
92,3.0920566506683826,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
93,3.0326149575412273,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
94,3.0817067474126816,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
95,3.120578981935978,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
96,4.849998436868191,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
97,6.489554964005947,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
98,6.481746047735214,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
99,6.488812293857336,11.5439453125,0.19140625,AblationStudies,densenet121,STL10,1
