image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,2.550432032207027,135.2900390625,0.19140625,AblationStudies,densenet121,STL10,1
1,2.5436490550637245,135.2900390625,0.19140625,AblationStudies,densenet121,STL10,1
2,2.5557800149545074,135.2900390625,0.19140625,AblationStudies,densenet121,STL10,1
3,2.5357136111706495,135.2900390625,0.19140625,AblationStudies,densenet121,STL10,1
4,2.5427631710190326,135.2900390625,0.19140625,AblationStudies,densenet121,STL10,1
5,2.5092877480201423,135.2900390625,0.19140625,AblationStudies,densenet121,STL10,1
6,2.5109287640079856,135.2900390625,0.19140625,AblationStudies,densenet121,STL10,1
7,2.5307862320914865,135.2900390625,0.19140625,AblationStudies,densenet121,STL10,1
8,2.534997313050553,135.2900390625,0.19140625,AblationStudies,densenet121,STL10,1
9,2.5112322599161416,135.2900390625,0.19140625,AblationStudies,densenet121,STL10,1
10,2.5137780839577317,135.2900390625,0.19140625,AblationStudies,densenet121,STL10,1
11,2.5132100959308445,135.2900390625,0.19140625,AblationStudies,densenet121,STL10,1
12,2.5380560201592743,135.2900390625,0.19140625,AblationStudies,densenet121,STL10,1
13,2.5231786950025707,135.2900390625,0.19140625,AblationStudies,densenet121,STL10,1
14,2.5112691710237414,135.2900390625,0.19140625,AblationStudies,densenet121,STL10,1
15,2.5201380809303373,135.2900390625,0.19140625,AblationStudies,densenet121,STL10,1
16,2.538528064964339,135.2900390625,0.19140625,AblationStudies,densenet121,STL10,1
17,2.5173638709820807,135.2900390625,0.19140625,AblationStudies,densenet121,STL10,1
18,2.5172920608893037,135.2900390625,0.19140625,AblationStudies,densenet121,STL10,1
19,2.536289388081059,135.2900390625,0.19140625,AblationStudies,densenet121,STL10,1
20,2.5381442580837756,135.2900390625,0.19140625,AblationStudies,densenet121,STL10,1
21,2.5051964519079775,135.2900390625,0.19140625,AblationStudies,densenet121,STL10,1
22,2.515702167060226,135.2900390625,0.19140625,AblationStudies,densenet121,STL10,1
23,2.512101895874366,135.2900390625,0.19140625,AblationStudies,densenet121,STL10,1
24,2.5575052769854665,135.2900390625,0.19140625,AblationStudies,densenet121,STL10,1
25,2.5473375420551747,135.2900390625,0.19140625,AblationStudies,densenet121,STL10,1
26,2.563177154865116,135.2900390625,0.19140625,AblationStudies,densenet121,STL10,1
27,2.5247274909634143,135.2900390625,0.19140625,AblationStudies,densenet121,STL10,1
28,2.5273376319091767,135.2900390625,0.19140625,AblationStudies,densenet121,STL10,1
