image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,1.512109111994505,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,CIFAR10,1
1,1.5226894170045853,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,CIFAR10,1
2,1.5167660973966122,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,CIFAR10,1
3,1.634631048887968,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,CIFAR10,1
4,1.502429947257042,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,CIFAR10,1
5,1.5279484912753105,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,CIFAR10,1
6,1.5187778510153294,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,CIFAR10,1
7,1.4994535893201828,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,CIFAR10,1
8,1.5314984358847141,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,CIFAR10,1
9,1.59671076759696,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,CIFAR10,1
10,1.663068912923336,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,CIFAR10,1
11,1.5695134550333023,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,CIFAR10,1
12,1.5049852654337883,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,CIFAR10,1
13,1.5227267481386662,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,CIFAR10,1
14,1.6199529357254505,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,CIFAR10,1
15,1.5355499498546124,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,CIFAR10,1
16,1.5300754569470882,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,CIFAR10,1
17,1.4756593704223633,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,CIFAR10,1
18,1.4947718493640423,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,CIFAR10,1
19,1.4985314421355724,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,CIFAR10,1
20,1.5321454778313637,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,CIFAR10,1
21,1.5361916236579418,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,CIFAR10,1
22,1.4950832016766071,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,CIFAR10,1
23,1.6166451014578342,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,CIFAR10,1
24,1.474342454224825,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,CIFAR10,1
25,1.468860849738121,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,CIFAR10,1
