image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,1.3263495829887688,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
1,1.3217247750144452,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
2,1.354661980876699,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
3,1.3245418828446418,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
4,1.3350822299253196,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
5,1.341456641908735,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
6,1.3416785278823227,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
7,1.347894191974774,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
8,1.3253102698363364,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
9,1.3511923211626709,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
10,1.324874220881611,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
11,1.324701099889353,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
12,1.331266073975712,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
13,1.3346790079958737,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
14,1.3274575748946518,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
15,1.3380500359926373,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
16,1.3306079269386828,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
17,1.347921343985945,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
18,1.3274777410551906,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
19,1.3248951500281692,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
20,1.32612619898282,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
21,1.32936672703363,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
22,1.3305269738193601,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
23,1.3232268951833248,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
24,1.3521730210632086,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
25,1.3282552980817854,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
26,1.3189546358771622,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
27,1.3523779341485351,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
28,1.3292579560074955,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
29,1.3310114960186183,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
30,1.321041383082047,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
31,1.326456471113488,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
32,1.347175404895097,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
33,1.3187571808230132,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
34,1.3309532820712775,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
35,1.3323901409748942,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
36,1.323365590069443,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
37,1.335683214943856,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
38,1.326546628959477,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
39,1.3468665641266853,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
40,1.3235243358649313,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
41,1.323305384023115,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
42,1.3241402730345726,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
43,1.3262122191954404,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
44,1.3302384370472282,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
45,1.3235422261059284,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
46,1.3282792610116303,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
47,1.3515566210262477,134.5244140625,0.19140625,AblationStudies,efficientnet-b0,ImageNet,1
