image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,1.9693939350545406,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
1,1.8943256475031376,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
2,1.9439407736063004,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
3,1.9117668233811855,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
4,1.87162484228611,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
5,1.940603531897068,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
6,1.8991310745477676,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
7,1.919447224587202,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
8,1.653957486152649,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
9,1.5136365741491318,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
10,1.500233717262745,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
11,1.519145630300045,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
12,1.5258316472172737,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
13,1.5092933513224125,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
14,1.6327930092811584,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
15,1.8591044507920742,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
16,1.8663532994687557,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
17,1.7891219444572926,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
18,1.4648418575525284,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
19,1.4719497188925743,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
20,1.524631004780531,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
21,1.5251283422112465,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
22,1.4812054112553596,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
23,1.5120194256305695,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
24,1.5128167979419231,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
25,1.5706415958702564,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
26,1.6565109714865685,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
27,1.5738872699439526,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
28,1.68242447078228,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
29,1.5676027797162533,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
30,1.5265032015740871,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
31,1.504599142819643,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
32,1.6621180213987827,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
33,1.5495940633118153,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
34,1.5790581777691841,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
35,1.502058818936348,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
36,1.5281227603554726,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
37,1.5181354582309723,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
38,1.6879516951739788,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
39,1.5126198008656502,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
40,1.6458407863974571,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
41,1.6577027030289173,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
42,1.4833867475390434,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
43,1.5091219954192638,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
44,1.5076097026467323,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
45,1.5493632704019547,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
46,1.5024565607309341,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
47,1.5660215429961681,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
48,1.4929927811026573,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
49,1.4873308651149273,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
50,1.5338747166097164,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
51,1.515260249376297,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
52,1.5689105577766895,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
53,1.5341034308075905,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
54,1.5812796652317047,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
55,1.5892895050346851,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
56,1.5047376304864883,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
57,1.6675862036645412,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
58,1.528357945382595,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
59,1.49173329398036,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
60,1.5678527317941189,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
61,1.4962999857962132,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
62,1.4819264523684978,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
63,1.6289400085806847,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
64,1.5928195789456367,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
65,1.5824411287903786,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
66,1.480248350650072,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
67,1.5399399735033512,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
68,1.4835268892347813,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
69,1.4677337743341923,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
70,1.5490403026342392,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
71,1.547606322914362,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
72,1.6372480057179928,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
73,1.5381508581340313,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
74,1.5245986618101597,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
75,1.494014147669077,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
76,1.5176516138017178,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
77,1.5092220418155193,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
78,1.5175169296562672,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
79,1.5151095874607563,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
80,1.5637562051415443,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
81,1.5750448070466518,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
82,1.5015063807368279,11.1181640625,0.19140625,AblationStudies,efficientnet-b0,STL10,1
