image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,2.091010805219412,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
1,3.9691223315894604,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
2,4.202920317649841,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
3,4.206185966730118,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
4,4.200185727328062,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
5,4.203396357595921,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
6,4.195463247597218,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
7,4.192180532962084,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
8,4.200255583971739,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
9,4.196404345333576,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
10,4.197626858949661,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
11,4.192803859710693,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
12,4.19218061491847,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
13,4.188090264797211,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
14,4.186921387910843,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
15,4.190628379583359,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
16,4.188710283488035,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
17,4.1872400641441345,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
18,4.19204518944025,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
19,4.195381246507168,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
20,4.189385790377855,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
21,4.1827488243579865,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
22,4.198611240833998,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
23,4.195454258471727,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
24,4.191063057631254,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
25,4.194060027599335,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
26,4.189159348607063,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
27,4.19339332729578,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
28,4.188316520303488,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
29,4.187288716435432,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
30,4.187993109226227,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
31,4.190937291830778,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
32,4.188724257051945,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
33,4.201119735836983,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
34,4.200861681252718,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
35,4.194323528558016,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
36,4.2032783180475235,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
37,4.197111412882805,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
38,4.194843482226133,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
39,4.194724019616842,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
40,4.195849135518074,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
41,4.196508809924126,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
42,4.189582385122776,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
43,4.18789928779006,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
44,4.187657974660397,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
45,4.185690451413393,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
46,4.1880865432322025,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
47,4.186159066855907,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
48,4.188644949346781,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
49,4.185632038861513,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
50,4.187213212251663,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
51,4.194240279495716,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
52,4.188755176961422,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
53,4.19080401584506,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
54,4.187195632606745,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
55,4.189794059842825,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
56,4.189904369413853,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
57,4.186526544392109,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
58,4.193375952541828,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
59,4.18751810118556,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
60,4.189330630004406,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
61,4.1882844269275665,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
62,4.18892652541399,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
63,4.186947721987963,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
64,4.187265533953905,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
65,4.192070182412863,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
66,4.188163496553898,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
67,4.186962094157934,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
68,4.188673093914986,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
69,4.187895510345697,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
70,4.187598738819361,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
71,4.185645844787359,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
72,4.189896184951067,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
73,4.193143855780363,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
74,4.188019625842571,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
75,4.188314042985439,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
76,4.190294928848743,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
77,4.190897490829229,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
78,4.18788955360651,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
79,4.190018609166145,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
80,4.189676113426685,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
81,3.2335041537880898,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
82,1.417942926287651,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
83,3.2050186209380627,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
84,4.191367585211992,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
85,4.190039724111557,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
86,4.188548523932695,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
87,4.187722209841013,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
88,4.192650821059942,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
89,4.189031016081572,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
90,4.195501036942005,28.5048828125,0.19140625,AblationStudies,resnet50,CIFAR10,1
