image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,3.45263884216547,12.0556640625,0.19140625,AblationStudies,resnet50,ImageNet,1
1,3.4974071569740772,12.0556640625,0.19140625,AblationStudies,resnet50,ImageNet,1
2,3.467868410050869,12.0556640625,0.19140625,AblationStudies,resnet50,ImageNet,1
3,3.434079386293888,12.0556640625,0.19140625,AblationStudies,resnet50,ImageNet,1
4,3.4468619748950005,12.0556640625,0.19140625,AblationStudies,resnet50,ImageNet,1
5,3.467898730188608,12.0556640625,0.19140625,AblationStudies,resnet50,ImageNet,1
6,3.502156123518944,12.0556640625,0.19140625,AblationStudies,resnet50,ImageNet,1
7,3.4610017091035843,12.0556640625,0.19140625,AblationStudies,resnet50,ImageNet,1
8,3.502522688359022,12.0556640625,0.19140625,AblationStudies,resnet50,ImageNet,1
9,3.432263284921646,12.0556640625,0.19140625,AblationStudies,resnet50,ImageNet,1
10,3.488152142614126,12.0556640625,0.19140625,AblationStudies,resnet50,ImageNet,1
11,3.4350990913808346,12.0556640625,0.19140625,AblationStudies,resnet50,ImageNet,1
12,3.4436231702566147,12.0556640625,0.19140625,AblationStudies,resnet50,ImageNet,1
13,3.4644506983458996,12.0556640625,0.19140625,AblationStudies,resnet50,ImageNet,1
14,3.4631985388696194,12.0556640625,0.19140625,AblationStudies,resnet50,ImageNet,1
15,3.517120376229286,12.0556640625,0.19140625,AblationStudies,resnet50,ImageNet,1
16,3.452406730502844,12.0556640625,0.19140625,AblationStudies,resnet50,ImageNet,1
17,3.4905423298478127,12.0556640625,0.19140625,AblationStudies,resnet50,ImageNet,1
18,3.4903249368071556,12.0556640625,0.19140625,AblationStudies,resnet50,ImageNet,1
19,3.487093448638916,12.0556640625,0.19140625,AblationStudies,resnet50,ImageNet,1
20,3.510818101465702,12.0556640625,0.19140625,AblationStudies,resnet50,ImageNet,1
21,3.5034835413098335,12.0556640625,0.19140625,AblationStudies,resnet50,ImageNet,1
22,3.5365626588463783,12.0556640625,0.19140625,AblationStudies,resnet50,ImageNet,1
23,3.5196171440184116,12.0556640625,0.19140625,AblationStudies,resnet50,ImageNet,1
24,3.4398112408816814,12.0556640625,0.19140625,AblationStudies,resnet50,ImageNet,1
