image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,3.9092443361878395,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
1,4.186346802860498,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
2,3.040289808064699,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
3,1.4104852676391602,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
4,3.138100244104862,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
5,4.1871884278953075,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
6,4.1879162937402725,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
7,4.186349783092737,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
8,4.188399504870176,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
9,4.188239980489016,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
10,4.188841551542282,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
11,4.186831541359425,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
12,4.1862290017306805,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
13,4.186598666012287,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
14,4.1890176720917225,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
15,4.183106280863285,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
16,4.186888098716736,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
17,4.192213948816061,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
18,4.197779171168804,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
19,4.193590976297855,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
20,4.193832494318485,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
21,1.9018045999109745,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
22,1.6952462419867516,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
23,2.916313160210848,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
24,4.194547992199659,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
25,4.194668285548687,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
26,4.1917085610330105,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
27,4.194212406873703,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
28,4.195349212735891,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
29,4.195384386926889,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
30,4.194837898015976,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
31,4.193196836858988,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
32,4.189874395728111,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
33,1.5613013990223408,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
34,1.729917548596859,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
35,2.072422131896019,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
36,2.084055371582508,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
37,3.897833224385977,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
38,4.187146592885256,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
39,4.187735751271248,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
40,4.18603066727519,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
41,4.190460525453091,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
42,4.186236176639795,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
43,4.188429985195398,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
44,4.185772895812988,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
45,4.18817986920476,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
46,4.190781004726887,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
47,4.182885259389877,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
48,4.187974259257317,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
49,4.19236209243536,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
50,4.188062217086554,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
51,4.1867866069078445,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
52,4.186720807105303,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
53,4.190530002117157,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
54,4.191853743046522,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
55,4.185452289879322,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
56,4.186681270599365,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
57,4.189766358584166,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
58,4.186649229377508,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
59,4.185605593025684,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
60,4.189530361443758,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
61,4.185995500534773,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
62,4.18795857951045,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
63,4.192095469683409,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
64,4.189412713050842,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
65,2.9259344898164272,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
66,1.6133488938212395,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
67,2.063513521105051,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
68,2.114329420030117,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
69,2.1272396445274353,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
70,3.7918517626821995,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
71,4.191164791584015,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
72,4.189262814819813,28.5048828125,0.19140625,AblationStudies,resnet50,ImageNet,1
