image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.8497033410239965,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
1,0.8505707229487598,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
2,0.8523984178900719,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
3,0.8489432819187641,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
4,0.8544261639472097,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
5,0.8571362791117281,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
6,0.8480892090592533,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
7,0.8534787220414728,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
8,0.847212937893346,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
9,0.8452990900259465,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
10,0.8489251248538494,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
11,0.8515758439898491,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
12,0.8545774139929563,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
13,0.881342648062855,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
14,0.8533057391177863,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
15,0.8464920399710536,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
16,0.8591686880681664,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
17,0.851633750833571,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
18,0.8570494849700481,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
19,0.8466771969106048,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
20,0.8459059230517596,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
21,0.845143310027197,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
22,0.848027691943571,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
23,0.8469451018609107,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
24,0.8501950078643858,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
25,0.8517511470708996,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
26,0.8481468060053885,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
27,0.8520939280278981,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
28,0.8635302360635251,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
29,0.8480305708944798,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
30,0.8517663669772446,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
31,0.8491974028293043,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
32,0.8461598309222609,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
33,0.8458734930027276,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
34,0.8491541049443185,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
35,0.8472374069970101,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
36,0.8508485360071063,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
37,0.8530946450773627,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
38,0.8502171679865569,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
39,0.8516334341838956,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
40,0.8574802009388804,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
41,0.8458898600656539,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
42,0.8556258319877088,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
43,0.8485647251363844,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
44,0.8452017540112138,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
45,0.8465409090276808,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
46,0.8539532679133117,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
47,0.852019612910226,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
48,0.8563988248351961,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
49,0.8483357299119234,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
50,0.8467500798869878,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
51,0.8623503230046481,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
52,0.851372878998518,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
53,0.8485504151321948,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
54,0.8532094648107886,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
55,0.8514931739773601,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
56,0.8565619769506156,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
57,0.8572215021122247,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
58,0.856603774940595,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
59,0.865212450036779,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
60,0.8516904858406633,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
61,0.8485831988509744,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
62,0.8550937240943313,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
63,0.8634105259552598,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
64,0.8483154559507966,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
65,0.8452481969725341,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
66,0.8502542919013649,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
67,0.8474137629382312,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
68,0.8490949431434274,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
69,0.8497184549923986,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
70,0.8471322820987552,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
71,0.8508702928666025,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
72,0.850695095025003,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
73,0.8453653350006789,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
74,0.8501519809942693,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
75,0.8583385038655251,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
76,0.8477312370669097,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
77,0.8556408390868455,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
78,0.8494216410908848,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
79,0.8460033340379596,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
80,0.8478963929228485,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
81,0.8531626448966563,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
82,0.8487006979994476,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
83,0.855731753166765,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
84,0.851530154934153,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
85,0.8477801140397787,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
86,0.8605910358019173,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
87,0.8534686600323766,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
88,0.8475685350131243,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
89,0.8517610759008676,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
90,0.8491221640724689,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
91,0.8498562891036272,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
92,0.8497471320442855,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
93,0.8492360741365701,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
94,0.8532805340364575,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
95,0.8499488628003746,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
96,0.8498735639732331,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
97,0.851737888995558,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
98,0.8653510790318251,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
99,0.8474300489760935,136.8212890625,0.19140625,AblationStudies,resnet50,ImageNet,1
