image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,3.4563621804118156,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
1,3.5764369629323483,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
2,3.4814682602882385,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
3,3.455753982067108,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
4,3.5045176558196545,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
5,3.4704401530325413,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
6,3.4748559184372425,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
7,3.460256725549698,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
8,3.573540449142456,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
9,3.463705450296402,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
10,3.4536799676716328,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
11,3.4931975081562996,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
12,3.4331320710480213,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
13,3.455085325986147,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
14,3.537345077842474,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
15,3.609022833406925,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
16,3.530258223414421,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
17,3.566047329455614,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
18,3.546081591397524,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
19,3.6214652098715305,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
20,3.507467146962881,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
21,3.480115994811058,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
22,3.597164437174797,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
23,3.5371817387640476,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
24,3.5368449836969376,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
25,3.472625482827425,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
26,3.438801284879446,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
27,3.473693661391735,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
28,3.4734686128795147,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
29,3.583486333489418,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
30,3.507106065750122,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
31,3.5827200189232826,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
32,3.5936132334172726,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
33,3.525456018745899,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
34,3.4688536301255226,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
35,3.5415079221129417,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
36,3.449318327009678,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
37,3.5796344317495823,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
38,3.6115785278379917,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
39,3.5009087435901165,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
40,3.650137100368738,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
41,3.647726535797119,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
42,3.5173776149749756,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
43,3.6198668852448463,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
44,3.6275943629443645,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
45,3.486987844109535,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
46,3.48146316036582,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
47,3.4540188536047935,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
48,3.5025282613933086,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
49,3.6203866340219975,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
50,3.5623888932168484,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
51,3.5244376324117184,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
52,3.543837759643793,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
53,3.587656408548355,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
54,3.5364725328981876,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
55,3.5792332850396633,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
56,3.584715723991394,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
57,3.4837521761655807,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
58,3.613497633486986,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
59,3.77008356153965,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
60,3.544372007250786,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
61,3.5713342539966106,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
62,3.712751194834709,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
63,3.6815674491226673,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
64,3.6157555542886257,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
65,3.5154415741562843,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
66,3.4502449594438076,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
67,3.451466355472803,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
68,3.471581917256117,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
69,3.5338660180568695,11.1181640625,0.19140625,AblationStudies,resnet50,STL10,1
