image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,1.649152122437954,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
1,1.874703448265791,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
2,2.1328925266861916,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
3,3.754191130399704,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
4,4.188467960804701,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
5,4.18824565410614,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
6,4.194674372673035,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
7,4.193440340459347,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
8,4.192766949534416,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
9,4.19084108620882,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
10,4.191011760383844,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
11,4.193166736513376,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
12,4.191925462335348,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
13,4.196191526949406,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
14,4.192408934235573,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
15,4.190589148551226,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
16,4.190816685557365,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
17,4.188965443521738,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
18,4.194958180189133,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
19,4.190077219158411,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
20,4.190540261566639,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
21,4.190645918250084,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
22,4.190848644822836,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
23,4.188233487308025,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
24,4.190779034048319,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
25,4.2004427164793015,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
26,4.19178544729948,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
27,4.1968808732926846,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
28,4.191026467829943,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
29,4.195209123194218,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
30,4.189494490623474,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
31,4.189645417034626,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
32,4.194059830158949,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
33,4.18942541629076,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
34,4.190678212791681,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
35,4.19696993380785,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
36,4.193200584501028,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
37,4.191379141062498,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
38,4.1871603690087795,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
39,4.192902985960245,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
40,4.196017172187567,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
41,4.191515687853098,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
42,1.6571520902216434,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
43,1.6218192279338837,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
44,1.8912589065730572,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
45,4.076627898961306,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
46,4.183489255607128,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
47,4.189279172569513,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
48,4.191780984401703,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
49,4.190829366445541,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
50,4.187334079295397,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
51,4.190657939761877,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
52,4.190735299140215,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
53,4.191134884953499,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
54,4.188205491751432,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
55,4.190075736492872,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
56,4.191332120448351,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
57,4.189882721751928,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
58,4.191872157156467,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
59,4.189545508474112,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
60,4.189348131418228,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
61,4.18902975320816,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
62,1.6852739863097668,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
63,1.8342729061841965,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
64,1.8279331885278225,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
65,3.664210956543684,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
66,4.187861308455467,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
67,4.1903764717280865,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
68,4.190619975328445,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
69,4.188865337520838,28.5048828125,0.19140625,AblationStudies,resnet50,STL10,1
