image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,12.101395063102245,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
1,12.223544239997864,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
2,12.262970507144928,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
3,12.300378736108541,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
4,12.761670611798763,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
5,12.333154689520597,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
6,12.986529242247343,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
7,12.124434445053339,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
8,12.992235768586397,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
9,13.469885189086199,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
10,12.939591612666845,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
11,12.280133441090584,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
12,12.83115966245532,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
13,12.426733486354351,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
14,13.257980089634657,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
15,12.889792140573263,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
16,12.804364766925573,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
17,13.05398329347372,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
18,12.04844881594181,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
19,12.911577619612217,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
20,12.80411383509636,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
21,12.785027924925089,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
22,12.941281031817198,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
23,13.056446257978678,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
24,13.502823255956173,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
25,12.356242638081312,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
26,13.093354750424623,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
27,13.185686875134706,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
28,13.160616517066956,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
29,13.186893336474895,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
30,12.465633042156696,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
31,12.998247057199478,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
32,12.769707627594471,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
33,13.010545182973146,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
34,12.180878568440676,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
35,12.573859371244907,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
36,12.396216869354248,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
37,13.156507983803749,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
38,13.108635228127241,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
39,12.910663817077875,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
40,12.382636681199074,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
41,12.619487386196852,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
42,13.24075723439455,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
43,13.508779589086771,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
44,13.522675283253193,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
45,12.94803985953331,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
46,12.943421710282564,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
47,13.312162093818188,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
48,12.999262571334839,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
49,13.104494959115982,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
50,12.821608655154705,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
51,12.681434322148561,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
52,13.002111822366714,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
53,13.41082114726305,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
54,13.69207826256752,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
55,13.680850472301245,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
56,13.033902764320374,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
57,12.37543335929513,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
58,12.260249149054289,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
59,12.952856451272964,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
60,13.129156082868576,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
61,12.948540791869164,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
62,13.166051048785448,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
63,12.697962146252394,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
64,12.650199610739946,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
65,12.639345277100801,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
66,12.027298789471388,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
67,11.984507769346237,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
68,13.112913575023413,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
69,13.138323832303286,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
70,13.126364558935165,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
71,12.73021137714386,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
72,12.783621780574322,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
73,12.855257745832205,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
74,13.253394700586796,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
75,12.798963036388159,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
76,13.16910606622696,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
77,12.74625787883997,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
78,12.425287507474422,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
79,12.991649124771357,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
80,12.991618528962135,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
81,12.954755265265703,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
82,13.473325442522764,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
83,13.750159103423357,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
84,13.643136952072382,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
85,12.646474573761225,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
86,12.082893017679453,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
87,12.60692023485899,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
88,12.898016959428787,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
89,11.629249267280102,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
90,12.401640184223652,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
91,12.585277900099754,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
92,14.051676504313946,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
93,12.855180330574512,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
94,13.642041195183992,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
95,13.188220541924238,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
96,12.236464653164148,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
97,12.348857924342155,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
98,12.706844870001078,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
99,13.239906895905733,8.66796875,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
