image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,1.285368923097849,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
1,1.285939620109275,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
2,1.2853780928999186,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
3,1.2859676820226014,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
4,1.2901282380335033,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
5,1.2848246071953326,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
6,1.2857296529691666,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
7,1.2846922338940203,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
8,1.2870609271340072,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
9,1.2860995780210942,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
10,1.2847067711409181,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
11,1.2900817550253123,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
12,1.2859581948723644,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
13,1.2870648340322077,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
14,1.285512960050255,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
15,1.2849642389919609,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
16,1.2885334040038288,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
17,1.287062020972371,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
18,1.295835476834327,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
19,1.2898192580323666,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
20,1.2867838190868497,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
21,1.2852524961344898,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
22,1.2856485079973936,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
23,1.2861917880363762,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
24,1.2856856200378388,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
25,1.287173290969804,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
26,1.2864526428747922,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
27,1.290096526965499,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
28,1.2853489068802446,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
29,1.2864427650347352,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
30,1.28768100310117,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
31,1.2891814887989312,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
32,1.2903344710357487,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
33,1.286843046080321,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
34,1.2866858509369195,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
35,1.288208707002923,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
36,1.2865282481070608,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
37,1.2867595730349422,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
38,1.2871337719261646,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
39,1.2862876430153847,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
40,1.2856702730059624,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
41,1.2868960739579052,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
42,1.290792337153107,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
43,1.2861520459409803,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
44,1.285987976938486,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
45,1.2865080549381673,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
46,1.2861092130187899,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
47,1.2866963318083435,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
48,1.2870043718721718,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
49,1.2854358740150928,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
50,1.2896974380128086,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
51,1.2866361129563302,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
52,1.285963609116152,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
53,1.285717176971957,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
54,1.285263821016997,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
55,1.2876891389023513,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
56,1.2855188460089266,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
57,1.285578325856477,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
58,1.2901737680658698,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
59,1.2867759759537876,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
60,1.2867928340565413,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
61,1.285447350004688,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
62,1.2855593061540276,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
63,1.2864073091186583,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
64,1.2870202821213752,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
65,1.2872036839835346,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
66,1.2886636711191386,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
67,1.2867418709211051,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
68,1.2858702959492803,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
69,1.2861433278303593,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
70,1.2863259930163622,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
71,1.286986872786656,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
72,1.286698592826724,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
73,1.2897300980985165,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
74,1.2865794310346246,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
75,1.2856642201077193,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
76,1.2863496800418943,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
77,1.287818029988557,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
78,1.2904504348989576,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
79,1.287354078143835,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
80,1.2862593249883503,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
81,1.2902000120375305,9.0,0.19140625,AblationStudies,vit-b-16,CIFAR10,1
