image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,8.781998123973608,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
1,8.756697677075863,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
2,8.781499907374382,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
3,8.765398155897856,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
4,8.766851503401995,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
5,8.770858600735664,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
6,8.780708950012922,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
7,8.773889221251011,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
8,8.779104344546795,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
9,8.787618976086378,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
10,8.779450196772814,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
11,8.782233208417892,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
12,8.778633289039135,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
13,8.77304008230567,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
14,8.782104503363371,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
15,8.763649873435497,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
16,8.773663725703955,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
17,8.769168093800545,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
18,8.769027203321457,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
19,8.766606606543064,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
20,8.773037146776915,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
21,8.774698209017515,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
22,8.76665448024869,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
23,8.787867229431868,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
24,8.767436780035496,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
25,8.776036333292723,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
26,8.775725170969963,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
27,8.788466520607471,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
28,8.785328518599272,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
