image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,10.131745845079422,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
1,11.900318138301373,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
2,13.183167949318886,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
3,14.29765696823597,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
4,14.125372797250748,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
5,13.697639431804419,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
6,14.304144725203514,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
7,14.33449224755168,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
8,14.209549568593502,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
9,14.21589083224535,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
10,14.903663698583841,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
11,13.939147349447012,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
12,14.716004587709904,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
13,15.348039217293262,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
14,14.542642913758755,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
15,14.133864399045706,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
16,14.305431369692087,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
17,14.01578189432621,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
18,15.642070841044188,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
19,14.318357896059752,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
20,14.206574384123087,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
21,14.173801869153976,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
22,14.523224383592606,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
23,14.470227517187595,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
24,14.770672030746937,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
25,14.560999304056168,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
26,14.479318156838417,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
27,14.984656982123852,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
28,14.78940024971962,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
29,13.873971220105886,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
30,13.775982685387135,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
31,14.289295569062233,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
32,15.24668550863862,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
33,14.557434104382992,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
34,14.261793583631516,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
35,14.556673046201468,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
36,15.02216962352395,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
37,14.454196743667126,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
38,14.378621276468039,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
39,14.62530392035842,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
40,14.798561878502369,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
41,14.199018590152264,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
42,15.291961029171944,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
43,14.03209725394845,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
44,14.3275237493217,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
45,14.602591041475534,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
46,14.318490657955408,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
47,15.253181036561728,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
48,14.031743627041578,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
49,14.196623366326094,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
50,15.519039310514927,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
51,13.776530887931585,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
52,14.772259566932917,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
53,15.042967487126589,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
54,15.644367530941963,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
55,14.77527330443263,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
56,14.362201943993568,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
57,14.356858514249325,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
58,14.943727109581232,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
59,14.288733396679163,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
60,14.603968732059002,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
61,14.834117021411657,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
62,15.469827767461538,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
63,14.186367474496365,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
64,14.463983967900276,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
65,13.515406783670187,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
66,13.501953847706318,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
67,14.502305302768946,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
68,14.847284402698278,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
69,14.776618178933859,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
70,15.519995912909508,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
71,14.902270264923573,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
72,14.772443599998951,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
73,14.7495077252388,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
74,13.95955478399992,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
75,13.931140512228012,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
76,14.672751553356647,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
77,14.364037305116653,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
78,15.036588210612535,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
79,14.602915830910206,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
80,14.215667117387056,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
81,14.047211688011885,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
82,14.784918185323477,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
83,14.326834835112095,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
84,14.884623546153307,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
85,14.703777462244034,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
86,14.623754095286131,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
87,14.691015589982271,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
88,14.874449640512466,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
89,14.876145035028458,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
90,13.583820089697838,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
91,14.864980831742287,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
92,14.545705888420343,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
93,14.523412682116032,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
94,14.718331754207611,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
95,14.831612836569548,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
96,15.456510618329048,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
97,15.118333868682384,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
98,14.248221188783646,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
99,14.332120165228844,8.66796875,0.19140625,AblationStudies,vit-b-16,ImageNet,1
