image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,8.777456935495138,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
1,8.79607817903161,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
2,8.826275493949652,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
3,8.857848387211561,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
4,8.82710162177682,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
5,8.822184216231108,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
6,8.801344007253647,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
7,8.901808112859726,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
8,8.912245150655508,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
9,8.896058280020952,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
10,8.787718903273344,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
11,8.906188990920782,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
12,8.915126353502274,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
13,8.93220927938819,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
14,8.93706750869751,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
15,8.944617625325918,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
16,8.956623569130898,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
17,8.937852397561073,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
18,8.924319345504045,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
19,8.810291532427073,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
20,8.852273408323526,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
21,8.877122540026903,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
22,8.870238281786442,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
23,8.913877792656422,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
24,8.938055772334337,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
25,8.904518269002438,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
26,8.92553149163723,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
27,8.819632232189178,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
28,8.959145415574312,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
29,8.814534951001406,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
30,8.855204660445452,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
31,8.84498381987214,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
32,8.912678953260183,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
33,8.917724296450615,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
34,8.922915246337652,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
35,8.90335113927722,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
36,8.871629640460014,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
37,8.960216604173183,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
38,8.910716209560633,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
39,8.911457031965256,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
40,8.921602874994278,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
41,8.91229772567749,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
42,8.90739943832159,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
43,8.92480418458581,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
44,8.931731551885605,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
45,8.953377146273851,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
46,8.927378002554178,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
47,8.824762735515833,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
48,8.823322650045156,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
49,8.84536337479949,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
50,8.915395300835371,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
51,8.860233142971992,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
52,8.842712886631489,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
53,8.813452042639256,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
54,8.852590564638376,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
55,8.881967052817345,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
56,8.82340070977807,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
57,8.824098665267229,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
58,8.801464408636093,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
59,8.831234972923994,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
60,8.853038243949413,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
61,8.951865695416927,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
62,8.942265916615725,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
63,8.90961180627346,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
64,8.938919898122549,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
65,8.880339223891497,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
66,8.886875119060278,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
67,8.819275926798582,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
68,8.812593299895525,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
69,8.809099528938532,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
70,8.812505327165127,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
71,8.824733056128025,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
72,8.83251353725791,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
73,8.815431989729404,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
74,8.805615935474634,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
75,8.820630200207233,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
76,8.825118646025658,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
77,8.842581145465374,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
78,8.825939375907183,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
79,8.837855506688356,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
80,8.835078656673431,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
81,8.828963045030832,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
82,8.825100306421518,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
83,8.825045473873615,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
84,8.813349906355143,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
85,8.839888013899326,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
86,8.849186278879642,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
87,8.822452992200851,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
88,8.830086681991816,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
