image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,11.928922098129988,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
1,13.540904588997364,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
2,13.71265634521842,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
3,14.110937904566526,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
4,13.770916145294905,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
5,13.773863598704338,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
6,15.652184575796127,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
7,14.748564928770065,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
8,14.84896643832326,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
9,14.389584224671125,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
10,14.684844128787518,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
11,14.624345034360886,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
12,14.714176546782255,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
13,15.011703845113516,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
14,15.459269985556602,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
15,14.186921045184135,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
16,15.152224231511354,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
17,15.2284439727664,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
18,15.01334384828806,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
19,14.671345312148333,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
20,14.557218000292778,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
21,14.124065205454826,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
22,15.435475468635559,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
23,15.181366186589003,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
24,14.379708673804998,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
25,14.860162906348705,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
26,15.184280168265104,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
27,14.357187245041132,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
28,14.831086557358503,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
29,14.217084344476461,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
30,14.128268867731094,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
31,14.77434167638421,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
32,14.4038016051054,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
33,14.268849607557058,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
34,14.972651422023773,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
35,15.101386059075594,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
36,15.057813864201307,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
37,14.494665391743183,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
38,14.565950978547335,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
39,14.247776918113232,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
40,15.462990440428257,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
41,14.470679450780153,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
42,15.08209365233779,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
43,14.667161166667938,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
44,14.927198398858309,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
45,14.76535900682211,8.66796875,0.19140625,AblationStudies,vit-b-16,STL10,1
