image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,1.2803116929717362,9.8515625,0.19140625,AblationStudies,vit-b-16,STL10,1
1,1.286761414958164,9.8515625,0.19140625,AblationStudies,vit-b-16,STL10,1
2,1.2848629369400442,9.8515625,0.19140625,AblationStudies,vit-b-16,STL10,1
3,1.2857290599495173,9.8515625,0.19140625,AblationStudies,vit-b-16,STL10,1
4,1.283639962086454,9.8515625,0.19140625,AblationStudies,vit-b-16,STL10,1
5,1.2879119529388845,9.8515625,0.19140625,AblationStudies,vit-b-16,STL10,1
6,1.2851872488390654,9.8515625,0.19140625,AblationStudies,vit-b-16,STL10,1
7,1.2855646389070898,9.8515625,0.19140625,AblationStudies,vit-b-16,STL10,1
8,1.2856073649600148,9.8515625,0.19140625,AblationStudies,vit-b-16,STL10,1
9,1.2918787118978798,9.8515625,0.19140625,AblationStudies,vit-b-16,STL10,1
10,1.2827282859943807,9.8515625,0.19140625,AblationStudies,vit-b-16,STL10,1
11,1.2827705601230264,9.8515625,0.19140625,AblationStudies,vit-b-16,STL10,1
12,1.284812114899978,9.8515625,0.19140625,AblationStudies,vit-b-16,STL10,1
13,1.285235945135355,9.8515625,0.19140625,AblationStudies,vit-b-16,STL10,1
14,1.2841706429608166,9.8515625,0.19140625,AblationStudies,vit-b-16,STL10,1
15,1.2848139700945467,9.8515625,0.19140625,AblationStudies,vit-b-16,STL10,1
16,1.288086961954832,9.8515625,0.19140625,AblationStudies,vit-b-16,STL10,1
17,1.287780225975439,9.8515625,0.19140625,AblationStudies,vit-b-16,STL10,1
18,1.282853223849088,9.8515625,0.19140625,AblationStudies,vit-b-16,STL10,1
19,1.2878027020487934,9.8515625,0.19140625,AblationStudies,vit-b-16,STL10,1
20,1.2878384529612958,9.8515625,0.19140625,AblationStudies,vit-b-16,STL10,1
21,1.2858333620242774,9.8515625,0.19140625,AblationStudies,vit-b-16,STL10,1
22,1.288606627844274,9.8515625,0.19140625,AblationStudies,vit-b-16,STL10,1
23,1.2856175480410457,9.8515625,0.19140625,AblationStudies,vit-b-16,STL10,1
24,1.2903457921929657,9.8515625,0.19140625,AblationStudies,vit-b-16,STL10,1
25,1.2848436678759754,9.8515625,0.19140625,AblationStudies,vit-b-16,STL10,1
26,1.286007306072861,9.8515625,0.19140625,AblationStudies,vit-b-16,STL10,1
27,1.285936180036515,9.8515625,0.19140625,AblationStudies,vit-b-16,STL10,1
28,1.2849094842094928,9.8515625,0.19140625,AblationStudies,vit-b-16,STL10,1
29,1.2873416929505765,9.8515625,0.19140625,AblationStudies,vit-b-16,STL10,1
