image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.005148242926225066,109.73095703125,106.4775390625,CAM,convnext-t,CIFAR10,1
1,0.005144665017724037,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
2,0.005134363193064928,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
3,0.005192300071939826,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
4,0.0051504739094525576,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
5,0.005135104060173035,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
6,0.005173555109649897,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
7,0.005196884972974658,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
8,0.0051677110604941845,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
9,0.0050903549417853355,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
10,0.005087360041216016,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
11,0.005162043962627649,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
12,0.005091015947982669,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
13,0.005193345947191119,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
14,0.005125255091115832,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
15,0.005146512994542718,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
16,0.005178253166377544,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
17,0.005107983946800232,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
18,0.0056834479328244925,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
19,0.005108288023620844,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
20,0.005083048017695546,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
21,0.005313902162015438,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
22,0.005134599981829524,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
23,0.005122069967910647,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
24,0.005173092009499669,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
25,0.005252430913969874,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
26,0.005077646812424064,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
27,0.005176511127501726,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
28,0.0051591789815574884,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
29,0.005078149959445,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
30,0.0052121300250291824,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
31,0.005125664174556732,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
32,0.005196803016588092,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
33,0.005147075979039073,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
34,0.005139854038134217,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
35,0.005144800059497356,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
36,0.00508805294521153,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
37,0.005291664972901344,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
38,0.005175386788323522,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
39,0.005187124013900757,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
40,0.005111231002956629,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
41,0.005226339912042022,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
42,0.005106159020215273,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
43,0.005171552067622542,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
44,0.005112130893394351,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
45,0.005113532999530435,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
46,0.005215996876358986,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
47,0.005151934921741486,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
48,0.005174180027097464,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
49,0.005073383916169405,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
50,0.005268249893561006,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
51,0.005133603001013398,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
52,0.005154307931661606,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
53,0.005107189062982798,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
54,0.005384352989494801,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
55,0.005232055205851793,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
56,0.005205634981393814,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
57,0.005148224998265505,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
58,0.005143160931766033,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
59,0.005153454141691327,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
60,0.0052338819950819016,109.24658203125,105.9931640625,CAM,convnext-t,CIFAR10,1
