image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.03420810401439667,114.18310546875,109.9228515625,CAM,convnext-t,ImageNet,1
1,0.03220529854297638,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
2,0.029767140746116638,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
3,0.027288220822811127,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
4,0.028925832360982895,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
5,0.028707284480333328,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
6,0.030402861535549164,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
7,0.030463840812444687,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
8,0.027432125061750412,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
9,0.026506192982196808,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
10,0.026195399463176727,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
11,0.029976624995470047,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
12,0.03055403381586075,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
13,0.030321504920721054,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
14,0.030718516558408737,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
15,0.03056171163916588,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
16,0.03048483282327652,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
17,0.030482470989227295,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
18,0.030386872589588165,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
19,0.029075879603624344,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
20,0.029369954019784927,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
21,0.03043997660279274,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
22,0.028797246515750885,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
23,0.028802767395973206,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
24,0.029518209397792816,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
25,0.030582435429096222,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
26,0.030482113361358643,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
27,0.029415156692266464,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
28,0.030171819031238556,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
29,0.030485544353723526,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
30,0.030617568641901016,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
31,0.03054441139101982,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
32,0.03059076890349388,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
33,0.03058622032403946,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
34,0.030496861785650253,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
35,0.030007153749465942,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
36,0.030463729053735733,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
37,0.0305015929043293,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
38,0.028948325663805008,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
39,0.027430474758148193,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
40,0.029840953648090363,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
41,0.029802165925502777,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
42,0.029643289744853973,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
43,0.02972499281167984,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
44,0.03062307834625244,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
45,0.030412349849939346,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
46,0.030418846756219864,109.84716796875,106.1572265625,CAM,convnext-t,ImageNet,1
