image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.00721348449587822,113.39404296875,109.7041015625,CAM,convnext-t,STL10,1
1,0.007193524390459061,110.07421875,106.1572265625,CAM,convnext-t,STL10,1
2,0.01436121016740799,109.84716796875,106.1572265625,CAM,convnext-t,STL10,1
3,0.018836796283721924,109.84716796875,106.1572265625,CAM,convnext-t,STL10,1
4,0.03566824644804001,109.84716796875,106.1572265625,CAM,convnext-t,STL10,1
5,0.03597080335021019,109.84716796875,106.1572265625,CAM,convnext-t,STL10,1
6,0.035922821611166,109.84716796875,106.1572265625,CAM,convnext-t,STL10,1
7,0.0356200709939003,109.84716796875,106.1572265625,CAM,convnext-t,STL10,1
8,0.03482287377119064,109.84716796875,106.1572265625,CAM,convnext-t,STL10,1
9,0.03555072471499443,109.84716796875,106.1572265625,CAM,convnext-t,STL10,1
10,0.035847365856170654,109.84716796875,106.1572265625,CAM,convnext-t,STL10,1
11,0.03579919412732124,109.84716796875,106.1572265625,CAM,convnext-t,STL10,1
12,0.035922035574913025,109.84716796875,106.1572265625,CAM,convnext-t,STL10,1
13,0.03541657701134682,109.84716796875,106.1572265625,CAM,convnext-t,STL10,1
14,0.0355699248611927,109.84716796875,106.1572265625,CAM,convnext-t,STL10,1
15,0.035735853016376495,109.84716796875,106.1572265625,CAM,convnext-t,STL10,1
16,0.03609537333250046,109.84716796875,106.1572265625,CAM,convnext-t,STL10,1
17,0.03593958541750908,109.84716796875,106.1572265625,CAM,convnext-t,STL10,1
18,0.03570004552602768,109.84716796875,106.1572265625,CAM,convnext-t,STL10,1
19,0.03587746247649193,109.84716796875,106.1572265625,CAM,convnext-t,STL10,1
20,0.03563535958528519,109.84716796875,106.1572265625,CAM,convnext-t,STL10,1
21,0.03610113635659218,109.84716796875,106.1572265625,CAM,convnext-t,STL10,1
22,0.035920001566410065,109.84716796875,106.1572265625,CAM,convnext-t,STL10,1
23,0.0362127423286438,109.84716796875,106.1572265625,CAM,convnext-t,STL10,1
24,0.03564843535423279,109.84716796875,106.1572265625,CAM,convnext-t,STL10,1
25,0.03610757365822792,109.84716796875,106.1572265625,CAM,convnext-t,STL10,1
26,0.03587382659316063,109.84716796875,106.1572265625,CAM,convnext-t,STL10,1
27,0.03567063808441162,109.84716796875,106.1572265625,CAM,convnext-t,STL10,1
28,0.03589935228228569,109.84716796875,106.1572265625,CAM,convnext-t,STL10,1
29,0.035728223621845245,109.84716796875,106.1572265625,CAM,convnext-t,STL10,1
30,0.03506402298808098,109.84716796875,106.1572265625,CAM,convnext-t,STL10,1
31,0.03546817600727081,109.84716796875,106.1572265625,CAM,convnext-t,STL10,1
32,0.03518497198820114,109.84716796875,106.1572265625,CAM,convnext-t,STL10,1
33,0.03548083081841469,109.84716796875,106.1572265625,CAM,convnext-t,STL10,1
34,0.03562604635953903,109.84716796875,106.1572265625,CAM,convnext-t,STL10,1
35,0.03600635007023811,109.84716796875,106.1572265625,CAM,convnext-t,STL10,1
