image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.05293101817369461,127.7265625,125.681640625,CAM,densenet121,CIFAR10,1
1,0.04093462601304054,127.41796875,125.373046875,CAM,densenet121,CIFAR10,1
2,0.03691551461815834,127.41796875,125.373046875,CAM,densenet121,CIFAR10,1
3,0.04112454876303673,127.41796875,125.373046875,CAM,densenet121,CIFAR10,1
4,0.03972642868757248,127.41796875,125.373046875,CAM,densenet121,CIFAR10,1
5,0.04520892724394798,127.41796875,125.373046875,CAM,densenet121,CIFAR10,1
6,0.04087282717227936,127.41796875,125.373046875,CAM,densenet121,CIFAR10,1
7,0.04323148354887962,127.41796875,125.373046875,CAM,densenet121,CIFAR10,1
8,0.04545126482844353,127.41796875,125.373046875,CAM,densenet121,CIFAR10,1
9,0.04194609820842743,127.41796875,125.373046875,CAM,densenet121,CIFAR10,1
10,0.054324328899383545,127.41796875,125.373046875,CAM,densenet121,CIFAR10,1
11,0.04773496091365814,127.41796875,125.373046875,CAM,densenet121,CIFAR10,1
12,0.04325612634420395,127.41796875,125.373046875,CAM,densenet121,CIFAR10,1
13,0.0436539463698864,127.41796875,125.373046875,CAM,densenet121,CIFAR10,1
14,0.04149606078863144,127.41796875,125.373046875,CAM,densenet121,CIFAR10,1
15,0.0424036979675293,127.41796875,125.373046875,CAM,densenet121,CIFAR10,1
16,0.04571404308080673,127.41796875,125.373046875,CAM,densenet121,CIFAR10,1
17,0.04132445901632309,127.41796875,125.373046875,CAM,densenet121,CIFAR10,1
18,0.038783468306064606,127.41796875,125.373046875,CAM,densenet121,CIFAR10,1
19,0.03407810255885124,127.41796875,125.373046875,CAM,densenet121,CIFAR10,1
20,0.0333307683467865,127.41796875,125.373046875,CAM,densenet121,CIFAR10,1
21,0.03291360288858414,127.41796875,125.373046875,CAM,densenet121,CIFAR10,1
22,0.03384055197238922,127.41796875,125.373046875,CAM,densenet121,CIFAR10,1
23,0.03255392611026764,127.41796875,125.373046875,CAM,densenet121,CIFAR10,1
24,0.033532459288835526,127.41796875,125.373046875,CAM,densenet121,CIFAR10,1
25,0.032914187759160995,127.41796875,125.373046875,CAM,densenet121,CIFAR10,1
26,0.033214014023542404,127.41796875,125.373046875,CAM,densenet121,CIFAR10,1
27,0.03338875249028206,127.41796875,125.373046875,CAM,densenet121,CIFAR10,1
28,0.03368494659662247,127.41796875,125.373046875,CAM,densenet121,CIFAR10,1
29,0.03482215106487274,127.41796875,125.373046875,CAM,densenet121,CIFAR10,1
30,0.03555556759238243,127.41796875,125.373046875,CAM,densenet121,CIFAR10,1
31,0.034354958683252335,127.41796875,125.373046875,CAM,densenet121,CIFAR10,1
32,0.03373453766107559,127.41796875,125.373046875,CAM,densenet121,CIFAR10,1
33,0.03297506272792816,127.41796875,125.373046875,CAM,densenet121,CIFAR10,1
