image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.04566347226500511,128.32421875,126.279296875,CAM,densenet121,CIFAR10,1
1,0.03599889948964119,128.66015625,126.615234375,CAM,densenet121,CIFAR10,1
2,0.04370541498064995,128.66015625,126.615234375,CAM,densenet121,CIFAR10,1
3,0.04392112419009209,128.66015625,126.615234375,CAM,densenet121,CIFAR10,1
4,0.04204527661204338,128.66015625,126.615234375,CAM,densenet121,CIFAR10,1
5,0.043990373611450195,128.66015625,126.615234375,CAM,densenet121,CIFAR10,1
6,0.041645247489213943,128.66015625,126.615234375,CAM,densenet121,CIFAR10,1
7,0.04381289705634117,128.66015625,126.615234375,CAM,densenet121,CIFAR10,1
8,0.043414317071437836,128.66015625,126.615234375,CAM,densenet121,CIFAR10,1
9,0.04418935999274254,128.66015625,126.615234375,CAM,densenet121,CIFAR10,1
10,0.04443642869591713,128.66015625,126.615234375,CAM,densenet121,CIFAR10,1
11,0.04487854242324829,128.66015625,126.615234375,CAM,densenet121,CIFAR10,1
12,0.04405633360147476,128.66015625,126.615234375,CAM,densenet121,CIFAR10,1
13,0.04328617453575134,128.66015625,126.615234375,CAM,densenet121,CIFAR10,1
14,0.04269921034574509,128.66015625,126.615234375,CAM,densenet121,CIFAR10,1
15,0.042608343064785004,128.66015625,126.615234375,CAM,densenet121,CIFAR10,1
16,0.04255295172333717,128.66015625,126.615234375,CAM,densenet121,CIFAR10,1
17,0.042812250554561615,128.66015625,126.615234375,CAM,densenet121,CIFAR10,1
18,0.04378852993249893,128.66015625,126.615234375,CAM,densenet121,CIFAR10,1
19,0.043410543352365494,128.66015625,126.615234375,CAM,densenet121,CIFAR10,1
20,0.04323648288846016,128.66015625,126.615234375,CAM,densenet121,CIFAR10,1
21,0.044443752616643906,128.66015625,126.615234375,CAM,densenet121,CIFAR10,1
22,0.0440526008605957,128.66015625,126.615234375,CAM,densenet121,CIFAR10,1
23,0.04396670311689377,128.66015625,126.615234375,CAM,densenet121,CIFAR10,1
24,0.04320908710360527,128.66015625,126.615234375,CAM,densenet121,CIFAR10,1
