image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.05768066644668579,127.708984375,125.6640625,CAM,densenet121,ImageNet,1
1,0.05350595340132713,128.279296875,126.234375,CAM,densenet121,ImageNet,1
2,0.04656250402331352,127.958984375,125.755859375,CAM,densenet121,ImageNet,1
3,0.04319170489907265,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
4,0.04214930906891823,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
5,0.03916802629828453,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
6,0.052600227296352386,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
7,0.048955269157886505,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
8,0.042187295854091644,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
9,0.04381490871310234,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
10,0.06945130228996277,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
11,0.048277102410793304,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
12,0.04175944626331329,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
13,0.06317897513508797,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
14,0.04069114476442337,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
15,0.048894718289375305,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
16,0.044393595308065414,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
17,0.03883679211139679,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
18,0.04055684804916382,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
19,0.03955056890845299,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
20,0.0390685498714447,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
21,0.03916991874575615,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
22,0.04073309153318405,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
23,0.03950173780322075,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
24,0.03957732021808624,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
25,0.03320092707872391,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
26,0.03105715662240982,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
27,0.03688185662031174,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
28,0.032694894820451736,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
29,0.035533513873815536,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
30,0.03162352368235588,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
31,0.03300987556576729,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
32,0.03288363665342331,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
33,0.0336817242205143,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
34,0.036000289022922516,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
35,0.03383118286728859,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
36,0.03512810543179512,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
37,0.03414265066385269,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
38,0.03571556508541107,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
39,0.047808367758989334,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
40,0.048386652022600174,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
41,0.036689188331365585,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
42,0.045210689306259155,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
43,0.030886445194482803,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
44,0.04445437341928482,127.2265625,125.181640625,CAM,densenet121,ImageNet,1
