image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.04799872264266014,129.40234375,127.357421875,CAM,densenet121,STL10,1
1,0.04822530224919319,127.9921875,125.947265625,CAM,densenet121,STL10,1
2,0.04842854663729668,128.0859375,126.041015625,CAM,densenet121,STL10,1
3,0.04708461835980415,127.9921875,125.947265625,CAM,densenet121,STL10,1
4,0.047802574932575226,127.9921875,125.947265625,CAM,densenet121,STL10,1
5,0.04787473753094673,127.9921875,125.947265625,CAM,densenet121,STL10,1
6,0.04783949255943298,127.9921875,125.947265625,CAM,densenet121,STL10,1
7,0.048074871301651,127.9921875,125.947265625,CAM,densenet121,STL10,1
8,0.04468247666954994,127.9921875,125.947265625,CAM,densenet121,STL10,1
9,0.04820914939045906,127.9921875,125.947265625,CAM,densenet121,STL10,1
10,0.04861577972769737,127.9921875,125.947265625,CAM,densenet121,STL10,1
11,0.04470713809132576,127.9921875,125.947265625,CAM,densenet121,STL10,1
12,0.04808727279305458,127.9921875,125.947265625,CAM,densenet121,STL10,1
13,0.0453256256878376,127.9921875,125.947265625,CAM,densenet121,STL10,1
14,0.04798661917448044,127.9921875,125.947265625,CAM,densenet121,STL10,1
15,0.04803857207298279,127.9921875,125.947265625,CAM,densenet121,STL10,1
16,0.04440627247095108,127.9921875,125.947265625,CAM,densenet121,STL10,1
17,0.04800981655716896,127.9921875,125.947265625,CAM,densenet121,STL10,1
18,0.047430653125047684,127.9921875,125.947265625,CAM,densenet121,STL10,1
19,0.04254874959588051,127.9921875,125.947265625,CAM,densenet121,STL10,1
20,0.047038014978170395,127.9921875,125.947265625,CAM,densenet121,STL10,1
21,0.048009295016527176,127.9921875,125.947265625,CAM,densenet121,STL10,1
22,0.04575331509113312,127.9921875,125.947265625,CAM,densenet121,STL10,1
23,0.04654155299067497,127.9921875,125.947265625,CAM,densenet121,STL10,1
24,0.048210904002189636,127.9921875,125.947265625,CAM,densenet121,STL10,1
25,0.04837321117520332,127.9921875,125.947265625,CAM,densenet121,STL10,1
26,0.044290583580732346,127.9921875,125.947265625,CAM,densenet121,STL10,1
27,0.04813959449529648,127.9921875,125.947265625,CAM,densenet121,STL10,1
28,0.048070576041936874,127.9921875,125.947265625,CAM,densenet121,STL10,1
29,0.048093635588884354,127.9921875,125.947265625,CAM,densenet121,STL10,1
30,0.04766520857810974,127.9921875,125.947265625,CAM,densenet121,STL10,1
31,0.04796437919139862,127.9921875,125.947265625,CAM,densenet121,STL10,1
32,0.04848470166325569,127.9921875,125.947265625,CAM,densenet121,STL10,1
33,0.04751097038388252,127.9921875,125.947265625,CAM,densenet121,STL10,1
34,0.04826527461409569,127.9921875,125.947265625,CAM,densenet121,STL10,1
35,0.04828031733632088,127.9921875,125.947265625,CAM,densenet121,STL10,1
36,0.04775791987776756,127.9921875,125.947265625,CAM,densenet121,STL10,1
37,0.04788731783628464,127.9921875,125.947265625,CAM,densenet121,STL10,1
38,0.04762040823698044,127.9921875,125.947265625,CAM,densenet121,STL10,1
39,0.04672142118215561,127.9921875,125.947265625,CAM,densenet121,STL10,1
40,0.046754684299230576,127.9921875,125.947265625,CAM,densenet121,STL10,1
41,0.04659005254507065,127.9921875,125.947265625,CAM,densenet121,STL10,1
42,0.040014006197452545,127.9921875,125.947265625,CAM,densenet121,STL10,1
43,0.046841368079185486,127.9921875,125.947265625,CAM,densenet121,STL10,1
44,0.046103041619062424,127.9921875,125.947265625,CAM,densenet121,STL10,1
45,0.04405566304922104,127.9921875,125.947265625,CAM,densenet121,STL10,1
46,0.04661693051457405,127.9921875,125.947265625,CAM,densenet121,STL10,1
47,0.04777015000581741,127.9921875,125.947265625,CAM,densenet121,STL10,1
48,0.042135268449783325,127.9921875,125.947265625,CAM,densenet121,STL10,1
49,0.04621805250644684,127.9921875,125.947265625,CAM,densenet121,STL10,1
50,0.04654254391789436,127.9921875,125.947265625,CAM,densenet121,STL10,1
51,0.046391457319259644,127.9921875,125.947265625,CAM,densenet121,STL10,1
52,0.04577331244945526,127.9921875,125.947265625,CAM,densenet121,STL10,1
53,0.04339190199971199,127.9921875,125.947265625,CAM,densenet121,STL10,1
54,0.046585023403167725,127.9921875,125.947265625,CAM,densenet121,STL10,1
55,0.046396512538194656,127.9921875,125.947265625,CAM,densenet121,STL10,1
56,0.04628150165081024,127.9921875,125.947265625,CAM,densenet121,STL10,1
57,0.03571724519133568,127.9921875,125.947265625,CAM,densenet121,STL10,1
58,0.046888504177331924,127.9921875,125.947265625,CAM,densenet121,STL10,1
59,0.046281568706035614,127.9921875,125.947265625,CAM,densenet121,STL10,1
60,0.045789558440446854,127.9921875,125.947265625,CAM,densenet121,STL10,1
61,0.045810431241989136,127.9921875,125.947265625,CAM,densenet121,STL10,1
62,0.046492330729961395,127.9921875,125.947265625,CAM,densenet121,STL10,1
63,0.04467194154858589,127.9921875,125.947265625,CAM,densenet121,STL10,1
64,0.04605777934193611,127.9921875,125.947265625,CAM,densenet121,STL10,1
65,0.04566509276628494,127.9921875,125.947265625,CAM,densenet121,STL10,1
66,0.046412013471126556,127.9921875,125.947265625,CAM,densenet121,STL10,1
67,0.045427870005369186,127.9921875,125.947265625,CAM,densenet121,STL10,1
68,0.046804893761873245,127.9921875,125.947265625,CAM,densenet121,STL10,1
69,0.04723714664578438,127.9921875,125.947265625,CAM,densenet121,STL10,1
70,0.046232372522354126,127.9921875,125.947265625,CAM,densenet121,STL10,1
71,0.046182408928871155,127.9921875,125.947265625,CAM,densenet121,STL10,1
72,0.04609892889857292,127.9921875,125.947265625,CAM,densenet121,STL10,1
73,0.046459656208753586,127.9921875,125.947265625,CAM,densenet121,STL10,1
74,0.04682040587067604,127.9921875,125.947265625,CAM,densenet121,STL10,1
75,0.046072326600551605,127.9921875,125.947265625,CAM,densenet121,STL10,1
76,0.04740598052740097,127.9921875,125.947265625,CAM,densenet121,STL10,1
77,0.04611682519316673,127.9921875,125.947265625,CAM,densenet121,STL10,1
78,0.045888904482126236,127.9921875,125.947265625,CAM,densenet121,STL10,1
79,0.045496970415115356,127.9921875,125.947265625,CAM,densenet121,STL10,1
80,0.046323858201503754,127.9921875,125.947265625,CAM,densenet121,STL10,1
81,0.04648705571889877,127.9921875,125.947265625,CAM,densenet121,STL10,1
82,0.04637374356389046,127.9921875,125.947265625,CAM,densenet121,STL10,1
83,0.04295424371957779,127.9921875,125.947265625,CAM,densenet121,STL10,1
84,0.044308219105005264,127.9921875,125.947265625,CAM,densenet121,STL10,1
85,0.04078251123428345,127.9921875,125.947265625,CAM,densenet121,STL10,1
86,0.04184218496084213,127.9921875,125.947265625,CAM,densenet121,STL10,1
87,0.042678508907556534,127.9921875,125.947265625,CAM,densenet121,STL10,1
88,0.04581401124596596,127.9921875,125.947265625,CAM,densenet121,STL10,1
89,0.04744471609592438,127.9921875,125.947265625,CAM,densenet121,STL10,1
90,0.045406997203826904,127.9921875,125.947265625,CAM,densenet121,STL10,1
91,0.0474085658788681,127.9921875,125.947265625,CAM,densenet121,STL10,1
92,0.047377586364746094,127.9921875,125.947265625,CAM,densenet121,STL10,1
93,0.04452913999557495,127.9921875,125.947265625,CAM,densenet121,STL10,1
94,0.046841103583574295,127.9921875,125.947265625,CAM,densenet121,STL10,1
95,0.04737543687224388,127.9921875,125.947265625,CAM,densenet121,STL10,1
96,0.043769266456365585,127.9921875,125.947265625,CAM,densenet121,STL10,1
