image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.013447623699903488,85.908203125,85.4755859375,CAM,efficientnet-b0,CIFAR10,1
1,0.01295282319188118,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
2,0.01316271722316742,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
3,0.013224776834249496,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
4,0.014304250478744507,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
5,0.01587456464767456,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
6,0.013169363141059875,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
7,0.017207488417625427,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
8,0.013025902211666107,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
9,0.013135775923728943,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
10,0.0132887102663517,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
11,0.013015363365411758,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
12,0.015210296958684921,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
13,0.013966694474220276,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
14,0.013129167258739471,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
15,0.013067357242107391,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
16,0.012950152158737183,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
17,0.013094034045934677,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
18,0.013154316693544388,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
19,0.0168384350836277,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
20,0.015873834490776062,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
21,0.013256348669528961,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
22,0.013337504118680954,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
23,0.013747479766607285,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
24,0.012915976345539093,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
25,0.013235263526439667,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
26,0.013149235397577286,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
27,0.017571017146110535,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
28,0.012994799762964249,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
29,0.012828342616558075,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
30,0.017615828663110733,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
31,0.01410749927163124,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
32,0.018611803650856018,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
33,0.01586010679602623,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
34,0.0127616748213768,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
35,0.013092298060655594,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
36,0.012545313686132431,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
37,0.0134134441614151,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
38,0.013238545507192612,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
39,0.013864181935787201,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
40,0.013229593634605408,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
41,0.013176940381526947,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
42,0.012863557785749435,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
43,0.013266433030366898,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
44,0.013619307428598404,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
45,0.012782718986272812,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
46,0.013141613453626633,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
47,0.013121642172336578,85.466796875,85.0341796875,CAM,efficientnet-b0,CIFAR10,1
