image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.008351528085768223,212.5302734375,85.5849609375,CAM,efficientnet-b0,CIFAR10,1
1,0.008523465832695365,211.3115234375,84.3662109375,CAM,efficientnet-b0,CIFAR10,1
2,0.008438516175374389,211.3115234375,84.3662109375,CAM,efficientnet-b0,CIFAR10,1
3,0.008429057896137238,211.3115234375,84.3662109375,CAM,efficientnet-b0,CIFAR10,1
4,0.00852071400731802,211.3115234375,84.3662109375,CAM,efficientnet-b0,CIFAR10,1
5,0.008468379033729434,211.3115234375,84.3662109375,CAM,efficientnet-b0,CIFAR10,1
6,0.008333112113177776,211.3115234375,84.3662109375,CAM,efficientnet-b0,CIFAR10,1
7,0.008557697990909219,211.3115234375,84.3662109375,CAM,efficientnet-b0,CIFAR10,1
8,0.00858926703222096,211.3115234375,84.3662109375,CAM,efficientnet-b0,CIFAR10,1
9,0.008812363026663661,211.3115234375,84.3662109375,CAM,efficientnet-b0,CIFAR10,1
10,0.008481008000671864,211.3115234375,84.3662109375,CAM,efficientnet-b0,CIFAR10,1
11,0.008424388011917472,211.3115234375,84.3662109375,CAM,efficientnet-b0,CIFAR10,1
12,0.008446495048701763,211.3115234375,84.3662109375,CAM,efficientnet-b0,CIFAR10,1
13,0.008384010987356305,211.3115234375,84.3662109375,CAM,efficientnet-b0,CIFAR10,1
14,0.008423380088061094,211.3115234375,84.3662109375,CAM,efficientnet-b0,CIFAR10,1
15,0.008413187926635146,211.3115234375,84.3662109375,CAM,efficientnet-b0,CIFAR10,1
16,0.008372460957616568,211.3115234375,84.3662109375,CAM,efficientnet-b0,CIFAR10,1
17,0.0084606041200459,211.3115234375,84.3662109375,CAM,efficientnet-b0,CIFAR10,1
18,0.008384526940062642,211.3115234375,84.3662109375,CAM,efficientnet-b0,CIFAR10,1
19,0.008424708154052496,211.3115234375,84.3662109375,CAM,efficientnet-b0,CIFAR10,1
20,0.00849474803544581,211.3115234375,84.3662109375,CAM,efficientnet-b0,CIFAR10,1
21,0.008357242913916707,211.3115234375,84.3662109375,CAM,efficientnet-b0,CIFAR10,1
22,0.008488365914672613,211.3115234375,84.3662109375,CAM,efficientnet-b0,CIFAR10,1
23,0.008407306857407093,211.3115234375,84.3662109375,CAM,efficientnet-b0,CIFAR10,1
24,0.008379172999411821,211.3115234375,84.3662109375,CAM,efficientnet-b0,CIFAR10,1
25,0.008569189114496112,211.3115234375,84.3662109375,CAM,efficientnet-b0,CIFAR10,1
26,0.008303026901558042,211.3115234375,84.3662109375,CAM,efficientnet-b0,CIFAR10,1
27,0.008420723024755716,211.3115234375,84.3662109375,CAM,efficientnet-b0,CIFAR10,1
28,0.00838424195535481,211.3115234375,84.3662109375,CAM,efficientnet-b0,CIFAR10,1
29,0.008490859065204859,211.3115234375,84.3662109375,CAM,efficientnet-b0,CIFAR10,1
30,0.008392272982746363,211.3115234375,84.3662109375,CAM,efficientnet-b0,CIFAR10,1
31,0.008626834023743868,211.3115234375,84.3662109375,CAM,efficientnet-b0,CIFAR10,1
32,0.008414536016061902,211.3115234375,84.3662109375,CAM,efficientnet-b0,CIFAR10,1
33,0.008543289033696055,211.3115234375,84.3662109375,CAM,efficientnet-b0,CIFAR10,1
34,0.008463399019092321,211.3115234375,84.3662109375,CAM,efficientnet-b0,CIFAR10,1
35,0.008384672924876213,211.3115234375,84.3662109375,CAM,efficientnet-b0,CIFAR10,1
36,0.008429483976215124,211.3115234375,84.3662109375,CAM,efficientnet-b0,CIFAR10,1
37,0.008357401005923748,211.3115234375,84.3662109375,CAM,efficientnet-b0,CIFAR10,1
38,0.008332116063684225,211.3115234375,84.3662109375,CAM,efficientnet-b0,CIFAR10,1
39,0.008448859909549356,211.3115234375,84.3662109375,CAM,efficientnet-b0,CIFAR10,1
40,0.008326214039698243,211.3115234375,84.3662109375,CAM,efficientnet-b0,CIFAR10,1
