image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.013560149818658829,85.849609375,85.4169921875,CAM,efficientnet-b0,ImageNet,1
1,0.01420954242348671,86.419921875,85.9873046875,CAM,efficientnet-b0,ImageNet,1
2,0.012658033519983292,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
3,0.013254612684249878,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
4,0.013295382261276245,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
5,0.013375207781791687,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
6,0.01323939859867096,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
7,0.01300235465168953,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
8,0.013316258788108826,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
9,0.013198219239711761,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
10,0.013273611664772034,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
11,0.013330716639757156,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
12,0.012911811470985413,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
13,0.013319481164216995,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
14,0.013261206448078156,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
15,0.013181433081626892,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
16,0.013158034533262253,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
17,0.013348162174224854,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
18,0.013411369174718857,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
19,0.013515375554561615,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
20,0.013315070420503616,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
21,0.013508480042219162,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
22,0.013553433120250702,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
23,0.013207688927650452,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
24,0.013569734990596771,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
25,0.013225160539150238,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
26,0.013471290469169617,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
27,0.013447195291519165,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
28,0.014787711203098297,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
29,0.012834463268518448,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
30,0.013250157237052917,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
31,0.013125382363796234,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
32,0.01305999606847763,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
33,0.013341125100851059,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
34,0.013188719749450684,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
35,0.013397693634033203,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
36,0.013038016855716705,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
37,0.013197015970945358,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
38,0.013462405651807785,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
39,0.013478364795446396,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
40,0.013483844697475433,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
41,0.013393420726060867,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
42,0.013432484120130539,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
43,0.013216856867074966,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
44,0.01346069946885109,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
45,0.01329927146434784,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
46,0.013260703533887863,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
47,0.013305358588695526,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
48,0.013356603682041168,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
49,0.013233520090579987,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
50,0.013297583907842636,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
51,0.013475991785526276,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
52,0.01335957646369934,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
53,0.013285797089338303,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
54,0.012989390641450882,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
55,0.013302754610776901,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
56,0.013525884598493576,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
57,0.013458315283060074,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
58,0.013383857905864716,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
59,0.013176199048757553,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
60,0.013259556144475937,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
61,0.01687481626868248,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
62,0.012797705829143524,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
63,0.013159696012735367,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
64,0.014912910759449005,85.369140625,84.9365234375,CAM,efficientnet-b0,ImageNet,1
