image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.013760045170783997,86.845703125,86.4130859375,CAM,efficientnet-b0,STL10,1
1,0.014364566653966904,85.466796875,85.0341796875,CAM,efficientnet-b0,STL10,1
2,0.01734907552599907,86.322265625,85.8896484375,CAM,efficientnet-b0,STL10,1
3,0.01403087005019188,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
4,0.014086779206991196,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
5,0.013759858906269073,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
6,0.014477401971817017,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
7,0.01368550956249237,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
8,0.013933558017015457,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
9,0.01358209177851677,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
10,0.012919731438159943,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
11,0.014960795640945435,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
12,0.013122037053108215,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
13,0.013301432132720947,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
14,0.01325700432062149,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
15,0.014342308044433594,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
16,0.014521468430757523,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
17,0.014660544693470001,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
18,0.01433498039841652,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
19,0.013170160353183746,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
20,0.013146333396434784,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
21,0.013113640248775482,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
22,0.013115264475345612,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
23,0.013155516237020493,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
24,0.012868214398622513,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
25,0.014382880181074142,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
26,0.013681191951036453,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
27,0.01403045654296875,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
28,0.012976408004760742,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
29,0.01321832463145256,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
30,0.013081949204206467,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
31,0.012937642633914948,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
32,0.013040516525506973,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
33,0.014164607971906662,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
34,0.019624803215265274,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
35,0.014999859035015106,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
36,0.014405682682991028,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
37,0.014195770025253296,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
38,0.01407042145729065,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
39,0.01489374041557312,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
40,0.014373816549777985,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
41,0.0144931860268116,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
42,0.014286365360021591,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
43,0.01409224048256874,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
44,0.014165367931127548,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
45,0.014027606695890427,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
46,0.014237083494663239,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
47,0.014077506959438324,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
48,0.01395389810204506,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
49,0.014364209026098251,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
50,0.01436682790517807,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
51,0.014042403548955917,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
52,0.014876514673233032,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
53,0.015952710062265396,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
54,0.013872195035219193,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
55,0.014321710914373398,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
56,0.014601405709981918,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
57,0.014083657413721085,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
58,0.014100901782512665,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
59,0.013931173831224442,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
60,0.014157325029373169,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
61,0.01710338518023491,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
62,0.014332756400108337,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
63,0.01400487869977951,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
64,0.014572862535715103,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
65,0.014104671776294708,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
66,0.013986971229314804,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
67,0.014941144734621048,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
68,0.01358487457036972,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
69,0.013522692024707794,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
70,0.013146109879016876,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
71,0.013108532875776291,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
72,0.0135694220662117,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
73,0.012939345091581345,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
74,0.01293790340423584,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
75,0.012952934950590134,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
76,0.013022497296333313,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
77,0.012982118874788284,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
78,0.013036791235208511,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
79,0.013169478625059128,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
80,0.013229187577962875,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
81,0.012844789773225784,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
82,0.01581309363245964,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
83,0.013940438628196716,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
84,0.013216089457273483,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
85,0.013066358864307404,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
86,0.013301592320203781,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
87,0.013618923723697662,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
88,0.01352294534444809,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
89,0.013330399990081787,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
90,0.013227105140686035,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
91,0.0130455382168293,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
92,0.013666804879903793,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
93,0.013925500214099884,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
94,0.013831403106451035,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
95,0.013306714594364166,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
96,0.013125766068696976,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
97,0.013041935861110687,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
98,0.013016864657402039,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
99,0.01301424577832222,85.369140625,84.9365234375,CAM,efficientnet-b0,STL10,1
