image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.00856150989420712,213.0458984375,86.1005859375,CAM,efficientnet-b0,STL10,1
1,0.008929787902161479,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
2,0.008770329877734184,211.6201171875,84.6748046875,CAM,efficientnet-b0,STL10,1
3,0.009181921137496829,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
4,0.008759967051446438,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
5,0.008694593096151948,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
6,0.008744880091398954,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
7,0.008947649039328098,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
8,0.0088265601079911,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
9,0.00902633205987513,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
10,0.008733589900657535,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
11,0.008659883867949247,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
12,0.008650430012494326,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
13,0.008819345152005553,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
14,0.008590131998062134,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
15,0.008855123072862625,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
16,0.00880604493431747,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
17,0.009306626860052347,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
18,0.00881934491917491,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
19,0.00878783012740314,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
20,0.00895389704965055,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
21,0.008873868035152555,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
22,0.008871912024915218,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
23,0.00883134501054883,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
24,0.008805447956547141,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
25,0.008826414123177528,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
26,0.008844505064189434,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
27,0.00889352592639625,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
28,0.008826752891764045,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
29,0.008678000187501311,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
30,0.00881481310352683,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
31,0.00871920702047646,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
32,0.008728439919650555,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
33,0.008806151105090976,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
34,0.008725415915250778,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
35,0.008778333896771073,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
36,0.00867088814266026,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
37,0.008684366010129452,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
38,0.008814804023131728,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
39,0.008670093957334757,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
40,0.008980609010905027,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
41,0.008812034968286753,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
42,0.009001145139336586,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
43,0.008722590049728751,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
44,0.00866509904153645,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
45,0.00875141192227602,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
46,0.00864035403355956,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
47,0.008628567913547158,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
48,0.008651413954794407,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
49,0.008604654809460044,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
50,0.00877782586030662,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
51,0.008704225067049265,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
52,0.008805225836113095,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
53,0.00871587498113513,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
54,0.00864561484195292,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
55,0.008704319130629301,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
56,0.008700294187292457,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
57,0.0086567138787359,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
58,0.008647451875731349,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
59,0.008587256073951721,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
60,0.008686707122251391,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
61,0.008655492914840579,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
62,0.00851454702205956,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
63,0.0086350510828197,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
64,0.008740053977817297,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
65,0.00875775096938014,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
66,0.008715672884136438,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
67,0.008737686090171337,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
68,0.008668571943417192,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
69,0.00871807592920959,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
70,0.008647614158689976,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
71,0.008665767963975668,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
72,0.00988041004166007,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
73,0.009091896936297417,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
74,0.008761330973356962,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
75,0.008699409198015928,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
76,0.008631067117676139,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
77,0.008624369977042079,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
78,0.008652974152937531,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
79,0.008707130094990134,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
80,0.008786828024312854,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
81,0.008670815965160728,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
82,0.008566680829972029,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
83,0.008622621884569526,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
84,0.00861953105777502,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
85,0.008700652047991753,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
86,0.008681371109560132,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
87,0.008614893071353436,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
88,0.008616657927632332,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
89,0.009509291034191847,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
90,0.008960404200479388,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
91,0.008975418051704764,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
92,0.008933728095144033,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
93,0.00874906312674284,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
94,0.008766786893829703,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
95,0.008916910970583558,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
96,0.00887825689278543,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
97,0.008812254061922431,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
98,0.008752935100346804,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
99,0.008662062929943204,211.3115234375,84.3662109375,CAM,efficientnet-b0,STL10,1
