image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.03750060126185417,86.42578125,85.990234375,CAM,resnet50,CIFAR10,1
1,0.032228294759988785,82.640625,82.205078125,CAM,resnet50,CIFAR10,1
2,0.03169901296496391,82.640625,82.205078125,CAM,resnet50,CIFAR10,1
3,0.03351708501577377,82.640625,82.205078125,CAM,resnet50,CIFAR10,1
4,0.02988342195749283,82.640625,82.205078125,CAM,resnet50,CIFAR10,1
5,0.029833152890205383,82.640625,82.205078125,CAM,resnet50,CIFAR10,1
6,0.025750547647476196,82.640625,82.205078125,CAM,resnet50,CIFAR10,1
7,0.024910613894462585,82.640625,82.205078125,CAM,resnet50,CIFAR10,1
8,0.022207804024219513,82.640625,82.205078125,CAM,resnet50,CIFAR10,1
9,0.024387281388044357,82.640625,82.205078125,CAM,resnet50,CIFAR10,1
10,0.02573813870549202,82.640625,82.205078125,CAM,resnet50,CIFAR10,1
11,0.025674398988485336,82.640625,82.205078125,CAM,resnet50,CIFAR10,1
12,0.020750924944877625,82.640625,82.205078125,CAM,resnet50,CIFAR10,1
13,0.020436134189367294,82.640625,82.205078125,CAM,resnet50,CIFAR10,1
14,0.020832158625125885,82.640625,82.205078125,CAM,resnet50,CIFAR10,1
15,0.021789122372865677,82.640625,82.205078125,CAM,resnet50,CIFAR10,1
16,0.022414926439523697,82.640625,82.205078125,CAM,resnet50,CIFAR10,1
17,0.021918687969446182,82.640625,82.205078125,CAM,resnet50,CIFAR10,1
18,0.021833963692188263,82.640625,82.205078125,CAM,resnet50,CIFAR10,1
19,0.02213289588689804,82.640625,82.205078125,CAM,resnet50,CIFAR10,1
20,0.022256337106227875,82.640625,82.205078125,CAM,resnet50,CIFAR10,1
21,0.021948330104351044,82.640625,82.205078125,CAM,resnet50,CIFAR10,1
22,0.021773595362901688,82.640625,82.205078125,CAM,resnet50,CIFAR10,1
23,0.0217205248773098,82.640625,82.205078125,CAM,resnet50,CIFAR10,1
24,0.022442515939474106,82.640625,82.205078125,CAM,resnet50,CIFAR10,1
25,0.020490989089012146,82.640625,82.205078125,CAM,resnet50,CIFAR10,1
26,0.021945830434560776,82.640625,82.205078125,CAM,resnet50,CIFAR10,1
