image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.007159017026424408,107.642578125,83.080078125,CAM,resnet50,ImageNet,1
1,0.00684303417801857,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
2,0.0067566633224487305,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
3,0.006897773593664169,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
4,0.006689094007015228,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
5,0.006639629602432251,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
6,0.006700281053781509,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
7,0.006678055971860886,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
8,0.0073549747467041016,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
9,0.006693236529827118,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
10,0.006889559328556061,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
11,0.006778925657272339,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
12,0.006633210927248001,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
13,0.006719999015331268,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
14,0.006882183253765106,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
15,0.006803840398788452,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
16,0.0066225603222846985,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
17,0.00658232718706131,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
18,0.0065245069563388824,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
19,0.006677933037281036,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
20,0.006492886692285538,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
21,0.006516598165035248,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
22,0.006984133273363113,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
23,0.006596926599740982,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
24,0.00650397315621376,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
25,0.006572596728801727,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
26,0.006641175597906113,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
27,0.006762746721506119,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
28,0.006473120301961899,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
29,0.006607264280319214,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
30,0.007746122777462006,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
31,0.007915433496236801,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
32,0.0073377154767513275,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
33,0.00657113641500473,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
34,0.00679604709148407,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
35,0.006584879010915756,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
36,0.006706956773996353,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
37,0.0066393278539180756,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
38,0.006697248667478561,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
39,0.0067825838923454285,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
40,0.006474021822214127,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
41,0.006515465676784515,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
42,0.006689134985208511,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
43,0.006984986364841461,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
44,0.006453517824411392,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
45,0.006573513150215149,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
46,0.006698302924633026,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
47,0.006554447114467621,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
48,0.006427157670259476,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
49,0.006562922149896622,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
50,0.006612278521060944,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
51,0.006833907216787338,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
52,0.006524648517370224,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
53,0.006656672805547714,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
54,0.006701305508613586,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
55,0.0065558962523937225,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
56,0.006579186767339706,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
57,0.00655866414308548,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
58,0.006382785737514496,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
59,0.006558075547218323,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
60,0.006713531911373138,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
61,0.00662560760974884,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
62,0.006541535258293152,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
63,0.00673661008477211,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
64,0.006901457905769348,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
65,0.006516680121421814,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
66,0.0066149793565273285,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
67,0.006413005292415619,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
68,0.006701845675706863,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
69,0.006306346505880356,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
70,0.0066974349319934845,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
71,0.006854098290205002,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
72,0.006521884351968765,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
73,0.006558727473020554,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
74,0.0066769979894161224,106.673828125,82.111328125,CAM,resnet50,ImageNet,1
