image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.00509481318295002,210.02734375,82.986328125,CAM,resnet50,ImageNet,1
1,0.005081183044239879,208.96484375,81.923828125,CAM,resnet50,ImageNet,1
2,0.005079444032162428,208.96484375,81.923828125,CAM,resnet50,ImageNet,1
3,0.0050890950951725245,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
4,0.005090376129373908,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
5,0.005079550901427865,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
6,0.00505228596739471,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
7,0.005047503858804703,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
8,0.005076383939012885,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
9,0.005037955939769745,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
10,0.005030927946791053,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
11,0.005021385150030255,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
12,0.005033235065639019,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
13,0.005350884050130844,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
14,0.005096127046272159,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
15,0.005090530961751938,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
16,0.00486140395514667,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
17,0.004877379862591624,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
18,0.004889655159786344,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
19,0.004883619025349617,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
20,0.004924477078020573,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
21,0.004859677981585264,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
22,0.004838953027501702,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
23,0.00489296717569232,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
24,0.004870186094194651,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
25,0.004832179052755237,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
26,0.004855145001783967,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
27,0.004802288021892309,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
28,0.004797301953658462,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
29,0.004897312028333545,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
30,0.004839002853259444,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
31,0.004912232048809528,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
32,0.00488355103880167,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
33,0.004810599843040109,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
34,0.004826789954677224,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
35,0.004798985086381435,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
36,0.004893233999609947,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
37,0.004911587107926607,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
38,0.004876711871474981,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
39,0.004817637847736478,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
40,0.004844105103984475,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
41,0.005001839948818088,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
42,0.004839592846110463,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
43,0.0047976679634302855,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
44,0.004853219958022237,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
45,0.004976056050509214,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
46,0.005361033137887716,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
47,0.00537202600389719,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
48,0.005400463007390499,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
49,0.005044454941526055,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
50,0.004933458054438233,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
51,0.0048806138802319765,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
52,0.00489486288279295,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
53,0.00492356694303453,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
54,0.004886389942839742,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
55,0.004923940869048238,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
56,0.004952474031597376,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
57,0.0049239411018788815,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
58,0.004892840050160885,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
59,0.004912516800686717,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
60,0.004897140897810459,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
61,0.004909374983981252,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
62,0.004928685026243329,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
63,0.004946619970723987,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
64,0.004826036049053073,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
65,0.004919222090393305,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
66,0.004881461150944233,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
67,0.004829229088500142,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
68,0.004855911014601588,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
69,0.004813963081687689,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
70,0.0048488161992281675,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
71,0.00489313411526382,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
72,0.004862802103161812,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
73,0.0048544511664658785,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
74,0.0048242060001939535,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
75,0.0047679380513727665,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
76,0.004813272040337324,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
77,0.004888385999947786,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
78,0.004930668976157904,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
79,0.004886781796813011,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
80,0.004820008063688874,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
81,0.004830247024074197,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
82,0.00491297198459506,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
83,0.004833637969568372,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
84,0.004823911935091019,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
85,0.00483758794143796,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
86,0.004827290074899793,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
87,0.005064206896349788,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
88,0.004775632172822952,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
89,0.0048578581772744656,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
90,0.004831185098737478,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
91,0.0047786058858036995,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
92,0.004875235958024859,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
93,0.0048769330605864525,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
94,0.004926845896989107,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
95,0.005385883850976825,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
96,0.0049808090552687645,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
97,0.004885255126282573,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
98,0.004876143066212535,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
99,0.004843236180022359,209.87109375,82.830078125,CAM,resnet50,ImageNet,1
