image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.006269645178690553,211.5390625,84.498046875,CAM,resnet50,STL10,1
1,0.006221853895112872,209.52734375,82.486328125,CAM,resnet50,STL10,1
2,0.006156333955004811,210.42578125,83.384765625,CAM,resnet50,STL10,1
3,0.0065057671163231134,208.96484375,81.923828125,CAM,resnet50,STL10,1
4,0.0064765100833028555,208.96484375,81.923828125,CAM,resnet50,STL10,1
5,0.006286140065640211,208.96484375,81.923828125,CAM,resnet50,STL10,1
6,0.0062951219733804464,208.96484375,81.923828125,CAM,resnet50,STL10,1
7,0.00628040311858058,208.96484375,81.923828125,CAM,resnet50,STL10,1
8,0.006248106947168708,208.96484375,81.923828125,CAM,resnet50,STL10,1
9,0.006269032834097743,208.96484375,81.923828125,CAM,resnet50,STL10,1
10,0.0062470450066030025,208.96484375,81.923828125,CAM,resnet50,STL10,1
11,0.006256683962419629,208.96484375,81.923828125,CAM,resnet50,STL10,1
12,0.006254245992749929,208.96484375,81.923828125,CAM,resnet50,STL10,1
13,0.006171707063913345,208.96484375,81.923828125,CAM,resnet50,STL10,1
14,0.006157296942546964,208.96484375,81.923828125,CAM,resnet50,STL10,1
15,0.006185427075251937,208.96484375,81.923828125,CAM,resnet50,STL10,1
16,0.0061412358190864325,208.96484375,81.923828125,CAM,resnet50,STL10,1
17,0.006232015090063214,208.96484375,81.923828125,CAM,resnet50,STL10,1
18,0.0061773990746587515,208.96484375,81.923828125,CAM,resnet50,STL10,1
19,0.006200103089213371,208.96484375,81.923828125,CAM,resnet50,STL10,1
20,0.00615353393368423,208.96484375,81.923828125,CAM,resnet50,STL10,1
21,0.006236756918951869,208.96484375,81.923828125,CAM,resnet50,STL10,1
22,0.0061288399156183004,208.96484375,81.923828125,CAM,resnet50,STL10,1
23,0.006332944147288799,208.96484375,81.923828125,CAM,resnet50,STL10,1
24,0.006076788064092398,208.96484375,81.923828125,CAM,resnet50,STL10,1
25,0.006158938864246011,208.96484375,81.923828125,CAM,resnet50,STL10,1
26,0.006275348132476211,208.96484375,81.923828125,CAM,resnet50,STL10,1
27,0.00616507395170629,208.96484375,81.923828125,CAM,resnet50,STL10,1
28,0.00613927305676043,208.96484375,81.923828125,CAM,resnet50,STL10,1
29,0.006168719148263335,208.96484375,81.923828125,CAM,resnet50,STL10,1
30,0.006141257006675005,208.96484375,81.923828125,CAM,resnet50,STL10,1
31,0.006148929009214044,208.96484375,81.923828125,CAM,resnet50,STL10,1
32,0.0061197609174996614,208.96484375,81.923828125,CAM,resnet50,STL10,1
33,0.006141977151855826,208.96484375,81.923828125,CAM,resnet50,STL10,1
34,0.006291884928941727,208.96484375,81.923828125,CAM,resnet50,STL10,1
35,0.00628135702572763,208.96484375,81.923828125,CAM,resnet50,STL10,1
36,0.0061235439497977495,208.96484375,81.923828125,CAM,resnet50,STL10,1
37,0.0061052460223436356,208.96484375,81.923828125,CAM,resnet50,STL10,1
38,0.006091024028137326,208.96484375,81.923828125,CAM,resnet50,STL10,1
39,0.006098225014284253,208.96484375,81.923828125,CAM,resnet50,STL10,1
40,0.006235684966668487,208.96484375,81.923828125,CAM,resnet50,STL10,1
41,0.006153009133413434,208.96484375,81.923828125,CAM,resnet50,STL10,1
42,0.0061727219726890326,208.96484375,81.923828125,CAM,resnet50,STL10,1
43,0.006125318119302392,208.96484375,81.923828125,CAM,resnet50,STL10,1
44,0.006174077978357673,208.96484375,81.923828125,CAM,resnet50,STL10,1
45,0.006164108170196414,208.96484375,81.923828125,CAM,resnet50,STL10,1
46,0.006191883003339171,208.96484375,81.923828125,CAM,resnet50,STL10,1
47,0.006176188122481108,208.96484375,81.923828125,CAM,resnet50,STL10,1
48,0.006143960868939757,208.96484375,81.923828125,CAM,resnet50,STL10,1
49,0.006216666894033551,208.96484375,81.923828125,CAM,resnet50,STL10,1
50,0.006224554963409901,208.96484375,81.923828125,CAM,resnet50,STL10,1
51,0.006063382141292095,208.96484375,81.923828125,CAM,resnet50,STL10,1
52,0.006159103941172361,208.96484375,81.923828125,CAM,resnet50,STL10,1
53,0.006120812147855759,208.96484375,81.923828125,CAM,resnet50,STL10,1
54,0.006099669961258769,208.96484375,81.923828125,CAM,resnet50,STL10,1
55,0.006204988108947873,208.96484375,81.923828125,CAM,resnet50,STL10,1
56,0.0062446200754493475,208.96484375,81.923828125,CAM,resnet50,STL10,1
57,0.006109998095780611,208.96484375,81.923828125,CAM,resnet50,STL10,1
58,0.006154909962788224,208.96484375,81.923828125,CAM,resnet50,STL10,1
59,0.006252768915146589,208.96484375,81.923828125,CAM,resnet50,STL10,1
60,0.0063719600439071655,208.96484375,81.923828125,CAM,resnet50,STL10,1
61,0.006861226167529821,208.96484375,81.923828125,CAM,resnet50,STL10,1
62,0.006533436942845583,208.96484375,81.923828125,CAM,resnet50,STL10,1
63,0.006361910840496421,208.96484375,81.923828125,CAM,resnet50,STL10,1
64,0.006320068147033453,208.96484375,81.923828125,CAM,resnet50,STL10,1
65,0.006224337965250015,208.96484375,81.923828125,CAM,resnet50,STL10,1
66,0.0062465660739690065,208.96484375,81.923828125,CAM,resnet50,STL10,1
67,0.006216390989720821,208.96484375,81.923828125,CAM,resnet50,STL10,1
68,0.006247210083529353,208.96484375,81.923828125,CAM,resnet50,STL10,1
69,0.006215019850060344,208.96484375,81.923828125,CAM,resnet50,STL10,1
70,0.006178136914968491,208.96484375,81.923828125,CAM,resnet50,STL10,1
71,0.006187313934788108,208.96484375,81.923828125,CAM,resnet50,STL10,1
72,0.006125950021669269,208.96484375,81.923828125,CAM,resnet50,STL10,1
73,0.006135647185146809,208.96484375,81.923828125,CAM,resnet50,STL10,1
74,0.006135903997346759,208.96484375,81.923828125,CAM,resnet50,STL10,1
75,0.006165872095152736,208.96484375,81.923828125,CAM,resnet50,STL10,1
76,0.006236030021682382,208.96484375,81.923828125,CAM,resnet50,STL10,1
77,0.006075483048334718,208.96484375,81.923828125,CAM,resnet50,STL10,1
78,0.006077079102396965,208.96484375,81.923828125,CAM,resnet50,STL10,1
79,0.006069712806493044,208.96484375,81.923828125,CAM,resnet50,STL10,1
80,0.006078271893784404,208.96484375,81.923828125,CAM,resnet50,STL10,1
81,0.006167751969769597,208.96484375,81.923828125,CAM,resnet50,STL10,1
82,0.00625039404258132,208.96484375,81.923828125,CAM,resnet50,STL10,1
83,0.00638689985498786,208.96484375,81.923828125,CAM,resnet50,STL10,1
