image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.10370424017310143,153.265625,140.42822265625,CAM,vit-b-16,CIFAR10,1
1,0.09473275765776634,148.6748046875,136.078125,CAM,vit-b-16,CIFAR10,1
2,0.0919743962585926,148.6748046875,136.078125,CAM,vit-b-16,CIFAR10,1
3,0.08164231851696968,148.6748046875,136.078125,CAM,vit-b-16,CIFAR10,1
4,0.07909096404910088,148.6748046875,136.078125,CAM,vit-b-16,CIFAR10,1
5,0.0719449408352375,148.6748046875,136.078125,CAM,vit-b-16,CIFAR10,1
6,0.07448266819119453,148.6748046875,136.078125,CAM,vit-b-16,CIFAR10,1
7,0.07207886874675751,148.6748046875,136.078125,CAM,vit-b-16,CIFAR10,1
8,0.07081377878785133,148.6748046875,136.078125,CAM,vit-b-16,CIFAR10,1
9,0.07318984344601631,148.6748046875,136.078125,CAM,vit-b-16,CIFAR10,1
