image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.09922963753342628,155.23876953125,142.64208984375,CAM,vit-b-16,ImageNet,1
1,0.09341496229171753,149.50390625,136.9072265625,CAM,vit-b-16,ImageNet,1
2,0.08330202847719193,148.6748046875,136.078125,CAM,vit-b-16,ImageNet,1
3,0.08250368386507034,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
4,0.08023231104016304,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
5,0.07679053023457527,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
6,0.07692445442080498,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
7,0.0768044963479042,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
8,0.0773281455039978,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
9,0.07742149382829666,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
10,0.07901555672287941,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
11,0.07584661990404129,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
12,0.07547303289175034,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
13,0.0799347572028637,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
14,0.07827750593423843,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
15,0.07868410274386406,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
16,0.0779842659831047,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
17,0.07878466323018074,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
18,0.07951328530907631,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
19,0.08006607741117477,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
20,0.07939672842621803,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
21,0.07977383211255074,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
22,0.08086717873811722,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
23,0.0705212727189064,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
24,0.07980475202202797,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
25,0.07973740622401237,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
26,0.08022964745759964,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
27,0.0764480009675026,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
28,0.07618092000484467,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
29,0.07716059312224388,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
30,0.07857822254300117,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
31,0.07742296159267426,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
32,0.08029128611087799,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
33,0.0803007185459137,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
34,0.07990404963493347,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
35,0.07898504287004471,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
36,0.08075665682554245,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
37,0.08038388937711716,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
38,0.07916459068655968,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
39,0.07530340924859047,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
40,0.07796501368284225,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
41,0.0782255157828331,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
42,0.07642927393317223,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
43,0.07550366595387459,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
44,0.07672211900353432,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
45,0.07668210938572884,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
46,0.07654746994376183,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
47,0.0788002498447895,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
48,0.0795043297111988,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
49,0.07784057036042213,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
50,0.07104009762406349,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
51,0.07657386362552643,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
52,0.07345952466130257,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
53,0.07679499685764313,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
54,0.0786920078098774,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
55,0.07327643409371376,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
56,0.0770089142024517,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
57,0.07442846894264221,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
58,0.07176351547241211,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
59,0.07672767341136932,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
60,0.07638667896389961,148.6748046875,135.83740234375,CAM,vit-b-16,ImageNet,1
