image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.09173682704567909,117.431640625,107.2177734375,CAM,vit-b-16,ImageNet,1
1,0.09023095667362213,116.35546875,106.6796875,CAM,vit-b-16,ImageNet,1
2,0.09049759060144424,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
3,0.08996718376874924,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
4,0.0908026210963726,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
5,0.09048596024513245,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
6,0.09096041321754456,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
7,0.09077880904078484,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
8,0.09091557934880257,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
9,0.09090958908200264,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
10,0.09069160372018814,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
11,0.08956244587898254,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
12,0.08998757600784302,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
13,0.08892922848463058,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
14,0.08953051641583443,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
15,0.08921577781438828,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
16,0.0899553932249546,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
17,0.08983337506651878,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
18,0.09025905653834343,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
19,0.0898192934691906,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
20,0.08993387222290039,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
21,0.09030531346797943,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
22,0.08693446591496468,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
23,0.09027989953756332,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
24,0.09023136273026466,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
25,0.09054835885763168,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
26,0.09082318469882011,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
27,0.08989471197128296,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
28,0.09070206061005592,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
29,0.09041056036949158,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
30,0.08866386115550995,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
31,0.08888725191354752,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
32,0.0907290130853653,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
33,0.09019144624471664,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
34,0.08907750248908997,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
35,0.0904039740562439,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
36,0.08843106776475906,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
37,0.08697624877095222,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
38,0.08899405598640442,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
39,0.08941900357604027,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
40,0.0910051129758358,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
41,0.09060879424214363,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
42,0.0910695306956768,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
43,0.08657212182879448,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
44,0.0909351147711277,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
45,0.0903410017490387,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
46,0.09031470492482185,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
47,0.09103184938430786,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
48,0.09093888849020004,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
49,0.09081461280584335,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
50,0.09034602344036102,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
51,0.0901254154741764,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
52,0.09026649221777916,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
53,0.0903131403028965,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
54,0.08966420590877533,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
55,0.09047462791204453,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
56,0.09087169915437698,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
57,0.09080362692475319,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
58,0.08499614894390106,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
59,0.09067688882350922,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
60,0.0909377820789814,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
61,0.08993962034583092,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
62,0.0892268493771553,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
63,0.09087417274713516,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
64,0.09065723419189453,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
65,0.09061414375901222,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
66,0.09065253660082817,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
67,0.09094156324863434,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
68,0.09129726141691208,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
69,0.08816730976104736,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
70,0.08888517320156097,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
71,0.08915071934461594,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
72,0.08504905551671982,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
73,0.08894874155521393,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
74,0.08920890465378761,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
75,0.08987487852573395,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
76,0.08977945148944855,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
77,0.09073598682880402,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
78,0.09029225632548332,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
79,0.09019868448376656,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
80,0.09042365476489067,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
81,0.0901358425617218,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
82,0.09002303332090378,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
83,0.09006302803754807,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
84,0.09057638794183731,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
85,0.09101248160004616,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
86,0.09094257280230522,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
87,0.09054389223456383,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
88,0.0899110957980156,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
89,0.09094920009374619,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
90,0.09063774719834328,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
91,0.08759919553995132,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
92,0.090969979763031,116.958984375,106.3291015625,CAM,vit-b-16,ImageNet,1
