image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.011448157019913197,117.310546875,107.3662109375,CAM,vit-b-16,ImageNet,1
1,0.01096683507785201,117.267578125,107.0732421875,CAM,vit-b-16,ImageNet,1
2,0.01123983901925385,116.5234375,106.84765625,CAM,vit-b-16,ImageNet,1
3,0.010956499027088284,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
4,0.010953146032989025,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
5,0.010950718075037003,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
6,0.010888358112424612,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
7,0.010969366179779172,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
8,0.010951043106615543,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
9,0.01113587711006403,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
10,0.010579998139292002,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
11,0.011074412846937776,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
12,0.011046688072383404,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
13,0.011157369939610362,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
14,0.011158340843394399,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
15,0.009287171065807343,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
16,0.008692306000739336,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
17,0.008538526017218828,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
18,0.008525043027475476,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
19,0.008458493975922465,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
20,0.008573999861255288,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
21,0.008543069008737803,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
22,0.008538885042071342,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
23,0.008471909910440445,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
24,0.008189399959519506,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
25,0.008193319896236062,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
26,0.00823750696144998,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
27,0.008382143219932914,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
28,0.008662213804200292,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
29,0.008595437044277787,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
30,0.008595372084528208,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
31,0.008644771063700318,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
32,0.008528133854269981,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
33,0.00868319720029831,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
34,0.008722442900761962,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
35,0.008570268983021379,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
36,0.008637558203190565,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
37,0.008177759824320674,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
38,0.008361287182196975,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
39,0.008374803001061082,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
40,0.00842905486933887,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
41,0.008748142048716545,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
42,0.00875148200429976,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
43,0.008787515107542276,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
44,0.008754235226660967,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
45,0.008724788902327418,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
46,0.008642714936286211,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
47,0.008628102019429207,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
48,0.008749729953706264,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
49,0.008707488887012005,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
50,0.008688791887834668,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
51,0.0088040039408952,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
52,0.008613229030743241,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
53,0.008642309112474322,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
54,0.008501698961481452,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
55,0.008821330964565277,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
56,0.008815950015559793,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
57,0.008834377164021134,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
58,0.008845845004543662,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
59,0.008795820875093341,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
60,0.008622031891718507,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
61,0.008709212066605687,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
62,0.00868123210966587,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
63,0.008703456027433276,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
64,0.008685634937137365,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
65,0.008703155908733606,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
66,0.008762622950598598,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
67,0.008633567951619625,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
68,0.008572153048589826,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
69,0.008391367038711905,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
70,0.008766727987676859,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
71,0.008828886086121202,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
72,0.008734629023820162,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
73,0.008777612121775746,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
74,0.008757084840908647,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
75,0.008762158919125795,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
76,0.008708053966984153,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
77,0.008732998045161366,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
78,0.008739219047129154,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
79,0.008772925939410925,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
80,0.008522104006260633,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
81,0.0089410908985883,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
82,0.008966034976765513,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
83,0.008901525055989623,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
84,0.008977835066616535,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
85,0.008916529128327966,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
86,0.009008135879412293,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
87,0.009005435975268483,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
88,0.008901068940758705,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
89,0.008924196939915419,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
90,0.008937076898291707,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
91,0.008917095139622688,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
92,0.00883859395980835,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
93,0.008968854090198874,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
94,0.00860732700675726,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
95,0.008595463819801807,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
96,0.008732381975278258,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
97,0.008789404993876815,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
98,0.008795624831691384,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
99,0.008794741937890649,116.958984375,107.283203125,CAM,vit-b-16,ImageNet,1
