image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.011312949936836958,117.380859375,107.1669921875,CAM,vit-b-16,STL10,1
1,0.011072095949202776,116.154296875,106.478515625,CAM,vit-b-16,STL10,1
2,0.011141295079141855,116.0048828125,106.3291015625,CAM,vit-b-16,STL10,1
3,0.011084640165790915,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
4,0.010381192900240421,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
5,0.01001474098302424,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
6,0.00889203604310751,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
7,0.008673161966726184,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
8,0.00867602089419961,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
9,0.008708834182471037,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
10,0.0087251509539783,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
11,0.008603926049545407,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
12,0.008728390093892813,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
13,0.008702635066583753,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
14,0.008492871187627316,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
15,0.008511983789503574,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
16,0.008523806929588318,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
17,0.008531291037797928,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
18,0.00856756791472435,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
19,0.00881227315403521,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
20,0.008854121202602983,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
21,0.008691812865436077,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
22,0.008737819036468863,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
23,0.008664679946377873,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
24,0.008667456917464733,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
25,0.008503918070346117,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
26,0.008606591960415244,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
27,0.008557416964322329,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
28,0.008669311879202724,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
29,0.008589006029069424,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
30,0.008636098122224212,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
31,0.008503120858222246,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
32,0.00853485707193613,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
33,0.008477763971313834,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
34,0.008849225006997585,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
35,0.007748665986582637,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
36,0.008701908169314265,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
37,0.008657130878418684,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
38,0.008855323074385524,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
39,0.008008061908185482,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
40,0.008567242184653878,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
41,0.008610344026237726,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
42,0.008599214954301715,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
43,0.008587818127125502,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
44,0.008594503859058022,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
45,0.008569075027480721,116.958984375,107.283203125,CAM,vit-b-16,STL10,1
