image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.37820179387927055,1081.48583984375,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
1,0.37058576196432114,1082.00146484375,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
2,0.3687940053641796,1082.00146484375,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
3,0.3677440322935581,1082.00146484375,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
4,0.3752278909087181,1082.00146484375,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
5,0.3677566461265087,1082.00146484375,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
6,0.3658735081553459,1082.00146484375,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
7,0.37107978016138077,1082.00146484375,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
8,0.36885081604123116,1082.00146484375,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
9,0.36344321072101593,1082.00146484375,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
10,0.36029885709285736,1082.00146484375,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
11,0.36745350807905197,1082.00146484375,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
12,0.3707713261246681,1082.00146484375,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
13,0.369177408516407,1082.00146484375,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
14,0.36256759613752365,1082.00146484375,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
15,0.3696206547319889,1082.00146484375,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
16,0.36909302696585655,1082.00146484375,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
17,0.366225253790617,1082.00146484375,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
18,0.3705033212900162,1082.00146484375,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
19,0.37314681708812714,1082.00146484375,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
20,0.37415485456585884,1082.00146484375,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
21,0.3677615746855736,1082.00146484375,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
22,0.3724072203040123,1082.00146484375,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
23,0.36881783604621887,1082.00146484375,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
24,0.36666274070739746,1082.00146484375,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
25,0.36965060979127884,1082.00146484375,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
26,0.36626574397087097,1082.00146484375,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
27,0.3701561912894249,1082.00146484375,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
28,0.36625974625349045,1082.00146484375,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
29,0.3577584773302078,1082.00146484375,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
30,0.37019696086645126,1082.00146484375,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
31,0.3637257404625416,1082.00146484375,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
32,0.3544991724193096,1082.00146484375,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
