image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.2718781530857086,1076.74755859375,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
1,0.26829543337225914,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
2,0.2562221586704254,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
3,0.27254248037934303,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
4,0.25243883952498436,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
5,0.20606253296136856,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
6,0.18076086416840553,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
7,0.3374559283256531,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
8,0.3371395319700241,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
9,0.33757054433226585,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
10,0.33781149983406067,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
11,0.3370131589472294,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
12,0.3376271650195122,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
13,0.3379293866455555,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
14,0.3367307744920254,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
15,0.3382953703403473,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
16,0.3364514410495758,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
17,0.3381953462958336,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
18,0.3363942541182041,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
19,0.33747629448771477,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
20,0.33770446479320526,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
21,0.3375845327973366,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
22,0.3368317447602749,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
23,0.3338516168296337,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
24,0.33738840371370316,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
25,0.3377628028392792,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
26,0.3374408856034279,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
27,0.3378716893494129,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
28,0.33746839687228203,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
29,0.33792227134108543,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
30,0.33794301003217697,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
31,0.33841558545827866,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
32,0.3379836045205593,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
33,0.3386562466621399,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
34,0.33708229288458824,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
35,0.33635222166776657,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
36,0.3377513028681278,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
37,0.33820943534374237,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
38,0.3375867195427418,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
39,0.3377440869808197,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
40,0.338887270539999,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
41,0.3371914252638817,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
42,0.3371836431324482,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
43,0.3377164974808693,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
44,0.33710699155926704,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
45,0.3372344560921192,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
46,0.3375246562063694,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
47,0.3366554006934166,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
48,0.3372717425227165,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
49,0.3371841311454773,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
50,0.3386549614369869,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
51,0.33737457171082497,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
52,0.3373931236565113,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
53,0.337659802287817,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
54,0.3372058756649494,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
55,0.33769820630550385,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
56,0.338210541754961,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
57,0.33763693645596504,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
58,0.3376401774585247,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
59,0.33783508837223053,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
60,0.33778030797839165,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
61,0.3382014147937298,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
62,0.3375866301357746,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
63,0.3369344137609005,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
64,0.33554209023714066,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
65,0.3373238444328308,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
66,0.33700335770845413,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
67,0.33777979761362076,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
68,0.3381609842181206,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
69,0.3376379646360874,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
70,0.3376746438443661,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
71,0.3374725393950939,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
72,0.3383437693119049,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
73,0.3352285102009773,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
74,0.3372190520167351,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
75,0.3364011384546757,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
76,0.33498768135905266,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
77,0.3351381681859493,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
78,0.3364081270992756,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
79,0.33737317100167274,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
80,0.3387434519827366,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
81,0.3378686457872391,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
82,0.3376684747636318,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
83,0.3369755819439888,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
84,0.33939578011631966,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
85,0.3378078117966652,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
86,0.3378151059150696,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
87,0.33642710745334625,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
88,0.3360864110291004,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
89,0.3348231017589569,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
90,0.3366103172302246,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
91,0.3373541049659252,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
92,0.336401354521513,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
93,0.3361792638897896,1077.26318359375,12.50390625,DeepLiftShap,convnext-t,CIFAR10,1
