image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.01045506214722991,1075.10498046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
1,0.014329699100926518,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
2,0.014284747187048197,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
3,0.01441702083684504,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
4,0.014193921815603971,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
5,0.014226766070351005,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
6,0.014248879859223962,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
7,0.014436407946050167,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
8,0.014383558882400393,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
9,0.014243324985727668,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
10,0.014288382837548852,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
11,0.01427929918281734,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
12,0.014356133993715048,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
13,0.014227400999516249,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
14,0.01760501298122108,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
15,0.014237111900001764,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
16,0.014286431018263102,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
17,0.01406697602942586,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
18,0.01392709999345243,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
19,0.014404786983504891,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
20,0.014321747934445739,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
21,0.014392795041203499,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
22,0.01412554201669991,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
23,0.014180419035255909,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
24,0.014325670897960663,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
25,0.014114994090050459,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
26,0.014250223059207201,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
27,0.01428226288408041,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
28,0.014347452903166413,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
29,0.01489112596027553,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
30,0.014265832956880331,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
31,0.014088316122069955,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
32,0.014315098989754915,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
33,0.01401417818851769,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
34,0.014193095965310931,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
35,0.013940986013039947,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
36,0.014130497118458152,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
37,0.014329344965517521,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
38,0.014571006875485182,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
39,0.014312922954559326,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
40,0.014000102877616882,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
41,0.01429552910849452,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
42,0.014222686877474189,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
43,0.01411764812655747,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
44,0.014784059021621943,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
45,0.014165863860398531,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
46,0.014264171943068504,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
47,0.01465438911691308,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
48,0.015202458947896957,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
49,0.015018939040601254,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
50,0.015039982041344047,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
51,0.014681186061352491,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
52,0.014781089965254068,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
53,0.014446354005485773,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
54,0.014117147075012326,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
55,0.013991559855639935,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
56,0.01486084796488285,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
57,0.014551101950928569,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
58,0.014589308062568307,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
59,0.014547026949003339,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
60,0.014407709008082747,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
61,0.014065653085708618,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
62,0.014047607081010938,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
63,0.01619663299061358,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
64,0.014505548868328333,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
65,0.014425464905798435,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
66,0.014460902893915772,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
67,0.014947190880775452,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
68,0.014350727899000049,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
69,0.014690411975607276,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
70,0.01441403804346919,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
71,0.014435917139053345,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
72,0.014336412074044347,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
73,0.01426280802115798,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
74,0.01441556797362864,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
75,0.014367823023349047,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
76,0.01451990008354187,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
77,0.014310725964605808,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
78,0.014638639986515045,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
79,0.014267949853092432,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
80,0.014522633980959654,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
81,0.014286644058302045,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
82,0.014465287094935775,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
83,0.014234650181606412,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
84,0.014422849053516984,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
85,0.014615409076213837,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
86,0.014286142075434327,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
87,0.014583379030227661,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
88,0.01423902902752161,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
89,0.014201290905475616,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
90,0.014360484899953008,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
91,0.014656002167612314,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
92,0.014215051895007491,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
93,0.014215883100405335,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
94,0.014445650856941938,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
95,0.014136038022115827,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
96,0.014375397004187107,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
97,0.014201709069311619,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
98,0.0141621851362288,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
99,0.014086572919040918,1074.07373046875,12.05859375,DeepLiftShap,convnext-t,CIFAR10,1
