image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.3727029673755169,1079.66748046875,12.05859375,DeepLiftShap,convnext-t,ImageNet,1
1,0.35493047907948494,1080.18310546875,12.05859375,DeepLiftShap,convnext-t,ImageNet,1
2,0.3706629350781441,1080.18310546875,12.83203125,DeepLiftShap,convnext-t,ImageNet,1
3,0.370452094823122,1078.89404296875,12.4453125,DeepLiftShap,convnext-t,ImageNet,1
4,0.3607364147901535,1078.89404296875,12.4453125,DeepLiftShap,convnext-t,ImageNet,1
5,0.370002344250679,1078.89404296875,12.4453125,DeepLiftShap,convnext-t,ImageNet,1
6,0.3831934370100498,1078.89404296875,12.4453125,DeepLiftShap,convnext-t,ImageNet,1
7,0.3699568212032318,1078.89404296875,12.4453125,DeepLiftShap,convnext-t,ImageNet,1
8,0.36383287981152534,1078.89404296875,12.4453125,DeepLiftShap,convnext-t,ImageNet,1
9,0.3705999106168747,1078.89404296875,12.4453125,DeepLiftShap,convnext-t,ImageNet,1
10,0.36811409518122673,1078.89404296875,12.4453125,DeepLiftShap,convnext-t,ImageNet,1
11,0.36551184207201004,1078.89404296875,12.4453125,DeepLiftShap,convnext-t,ImageNet,1
12,0.36268124356865883,1078.89404296875,12.4453125,DeepLiftShap,convnext-t,ImageNet,1
13,0.372428260743618,1078.89404296875,12.4453125,DeepLiftShap,convnext-t,ImageNet,1
14,0.37108786404132843,1078.89404296875,12.4453125,DeepLiftShap,convnext-t,ImageNet,1
15,0.3809400238096714,1078.89404296875,12.4453125,DeepLiftShap,convnext-t,ImageNet,1
16,0.3752598911523819,1078.89404296875,12.4453125,DeepLiftShap,convnext-t,ImageNet,1
17,0.3716779686510563,1078.89404296875,12.4453125,DeepLiftShap,convnext-t,ImageNet,1
18,0.37654026970267296,1078.89404296875,12.4453125,DeepLiftShap,convnext-t,ImageNet,1
19,0.3758992739021778,1078.89404296875,12.4453125,DeepLiftShap,convnext-t,ImageNet,1
20,0.3661343492567539,1078.89404296875,12.4453125,DeepLiftShap,convnext-t,ImageNet,1
21,0.3664986230432987,1078.89404296875,12.4453125,DeepLiftShap,convnext-t,ImageNet,1
22,0.3718408867716789,1078.89404296875,12.4453125,DeepLiftShap,convnext-t,ImageNet,1
23,0.3778214007616043,1078.89404296875,12.4453125,DeepLiftShap,convnext-t,ImageNet,1
24,0.37506621703505516,1078.89404296875,12.4453125,DeepLiftShap,convnext-t,ImageNet,1
25,0.380503311753273,1078.89404296875,12.4453125,DeepLiftShap,convnext-t,ImageNet,1
26,0.3644965775310993,1078.89404296875,12.4453125,DeepLiftShap,convnext-t,ImageNet,1
