image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.22728915885090828,1073.76708984375,12.05859375,DeepLiftShap,convnext-t,ImageNet,1
1,0.17110354825854301,1074.28271484375,12.13671875,DeepLiftShap,convnext-t,ImageNet,1
2,0.17810963094234467,1074.72021484375,12.50390625,DeepLiftShap,convnext-t,ImageNet,1
3,0.18268095701932907,1074.79052734375,12.57421875,DeepLiftShap,convnext-t,ImageNet,1
4,0.1596631407737732,1074.79052734375,12.57421875,DeepLiftShap,convnext-t,ImageNet,1
5,0.1343630999326706,1074.79052734375,12.57421875,DeepLiftShap,convnext-t,ImageNet,1
6,0.17689678817987442,1074.79052734375,12.57421875,DeepLiftShap,convnext-t,ImageNet,1
7,0.15934353694319725,1074.79052734375,12.57421875,DeepLiftShap,convnext-t,ImageNet,1
8,0.14521917700767517,1074.79052734375,12.57421875,DeepLiftShap,convnext-t,ImageNet,1
9,0.18422029539942741,1074.79052734375,12.57421875,DeepLiftShap,convnext-t,ImageNet,1
10,0.3380747511982918,1074.79052734375,12.57421875,DeepLiftShap,convnext-t,ImageNet,1
11,0.3373721353709698,1074.79052734375,12.57421875,DeepLiftShap,convnext-t,ImageNet,1
12,0.3375604636967182,1074.79052734375,12.57421875,DeepLiftShap,convnext-t,ImageNet,1
13,0.3378361649811268,1074.79052734375,12.57421875,DeepLiftShap,convnext-t,ImageNet,1
14,0.33725211024284363,1074.79052734375,12.57421875,DeepLiftShap,convnext-t,ImageNet,1
15,0.3379031866788864,1074.79052734375,12.57421875,DeepLiftShap,convnext-t,ImageNet,1
16,0.33748287707567215,1074.79052734375,12.57421875,DeepLiftShap,convnext-t,ImageNet,1
17,0.3369811624288559,1074.79052734375,12.57421875,DeepLiftShap,convnext-t,ImageNet,1
18,0.33692553639411926,1074.79052734375,12.57421875,DeepLiftShap,convnext-t,ImageNet,1
19,0.33644774183630943,1074.79052734375,12.57421875,DeepLiftShap,convnext-t,ImageNet,1
20,0.3369901478290558,1074.79052734375,12.57421875,DeepLiftShap,convnext-t,ImageNet,1
21,0.33737533912062645,1074.79052734375,12.57421875,DeepLiftShap,convnext-t,ImageNet,1
22,0.3376862518489361,1074.79052734375,12.57421875,DeepLiftShap,convnext-t,ImageNet,1
23,0.33625027164816856,1074.79052734375,12.57421875,DeepLiftShap,convnext-t,ImageNet,1
24,0.3372076340019703,1074.79052734375,12.57421875,DeepLiftShap,convnext-t,ImageNet,1
25,0.33709709718823433,1074.79052734375,12.57421875,DeepLiftShap,convnext-t,ImageNet,1
26,0.3369472436606884,1074.79052734375,12.57421875,DeepLiftShap,convnext-t,ImageNet,1
27,0.3388824425637722,1074.79052734375,12.57421875,DeepLiftShap,convnext-t,ImageNet,1
28,0.33560333028435707,1074.79052734375,12.57421875,DeepLiftShap,convnext-t,ImageNet,1
