image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.014951898949220777,1080.24951171875,12.05859375,DeepLiftShap,convnext-t,ImageNet,1
1,0.015273586148396134,1079.21826171875,12.81640625,DeepLiftShap,convnext-t,ImageNet,1
2,0.01531225093640387,1078.97607421875,12.4453125,DeepLiftShap,convnext-t,ImageNet,1
3,0.0150726861320436,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
4,0.015772907063364983,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
5,0.015723113901913166,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
6,0.015394157031551003,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
7,0.014917321968823671,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
8,0.014751593116670847,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
9,0.014619515975937247,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
10,0.014547732891514897,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
11,0.014537467854097486,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
12,0.014817977091297507,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
13,0.01473575597628951,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
14,0.01482433290220797,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
15,0.01467091590166092,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
16,0.014558951836079359,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
17,0.014511970104649663,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
18,0.014840950956568122,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
19,0.014561425894498825,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
20,0.014479284174740314,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
21,0.01454287301748991,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
22,0.014472079928964376,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
23,0.014575500041246414,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
24,0.014589989092200994,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
25,0.014414401957765222,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
26,0.014864410972222686,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
27,0.014333864906802773,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
28,0.014516470953822136,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
29,0.0146558559499681,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
30,0.014249898958951235,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
31,0.014641053043305874,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
32,0.01442898204550147,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
33,0.014597183093428612,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
34,0.015198444947600365,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
35,0.014477345859631896,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
36,0.014787819003686309,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
37,0.014476512093096972,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
38,0.014492024900391698,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
39,0.014673858182504773,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
40,0.014789700042456388,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
41,0.014486578991636634,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
42,0.014307105913758278,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
43,0.014290758175775409,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
44,0.014243446057662368,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
45,0.01439210120588541,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
46,0.014882476069033146,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
47,0.014780702069401741,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
48,0.015432517044246197,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
49,0.01532127009704709,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
50,0.014617316890507936,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
51,0.015551251824945211,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
52,0.015585793880745769,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
53,0.015558105893433094,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
54,0.015783031936734915,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
55,0.015724176075309515,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
56,0.015670513035729527,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
57,0.015865627909079194,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
58,0.015066117979586124,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
59,0.014567806152626872,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
60,0.014737383928149939,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
61,0.014587539015337825,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
62,0.015528168994933367,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
63,0.014956638915464282,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
64,0.014631649944931269,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
65,0.01510098297148943,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
66,0.014722574967890978,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
67,0.014384801965206861,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
68,0.014525865204632282,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
69,0.014598099049180746,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
70,0.014905121177434921,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
71,0.014686072012409568,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
72,0.014876961009576917,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
73,0.014321744907647371,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
74,0.014904862968251109,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
75,0.014554608846083283,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
76,0.01492336392402649,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
77,0.01453299610875547,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
78,0.014474964002147317,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
79,0.014689665986225009,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
80,0.014301979215815663,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
81,0.015141281066462398,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
82,0.014665836934000254,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
83,0.014578405069187284,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
84,0.014502866892144084,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
85,0.014536735136061907,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
86,0.01484896196052432,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
87,0.014932277845218778,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
88,0.014822002965956926,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
89,0.014468695037066936,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
90,0.014579350128769875,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
91,0.014660757035017014,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
92,0.014526554848998785,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
93,0.014675176003947854,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
94,0.014792754780501127,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
95,0.015187666984274983,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
96,0.014645822811871767,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
97,0.014476593118160963,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
98,0.014488860964775085,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
99,0.014279445866122842,1078.07373046875,12.5703125,DeepLiftShap,convnext-t,ImageNet,1
