image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.33674798533320427,1077.96435546875,12.05859375,DeepLiftShap,convnext-t,STL10,1
1,0.29980941861867905,1077.44873046875,12.05859375,DeepLiftShap,convnext-t,STL10,1
2,0.28188902884721756,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
3,0.27596335485577583,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
4,0.27939100563526154,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
5,0.26185036823153496,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
6,0.28298674523830414,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
7,0.3178178742527962,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
8,0.27871401235461235,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
9,0.3164442926645279,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
10,0.264548946171999,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
11,0.300511009991169,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
12,0.27445634081959724,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
13,0.26316890865564346,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
14,0.27940190583467484,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
15,0.27395637333393097,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
16,0.2762792520225048,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
17,0.27935902401804924,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
18,0.27813686430454254,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
19,0.28076469898223877,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
20,0.2566690221428871,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
21,0.2611079812049866,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
22,0.2693459764122963,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
23,0.28288012370467186,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
24,0.2688167206943035,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
25,0.26243726909160614,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
26,0.280830517411232,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
27,0.27223099395632744,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
28,0.27543584629893303,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
29,0.2757132537662983,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
30,0.2787576876580715,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
31,0.31402089074254036,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
32,0.2739584967494011,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
33,0.27331307530403137,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
34,0.27765965461730957,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
35,0.2622987851500511,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
36,0.2842124029994011,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
37,0.28175849840044975,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
38,0.2768910974264145,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
39,0.2799064591526985,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
40,0.2684968113899231,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
41,0.31725137308239937,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
42,0.31749262288212776,1077.96435546875,12.57421875,DeepLiftShap,convnext-t,STL10,1
