image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.010355337057262659,1076.30419921875,12.05859375,DeepLiftShap,convnext-t,STL10,1
1,0.014531836844980717,1076.30419921875,12.7265625,DeepLiftShap,convnext-t,STL10,1
2,0.015135304071009159,1075.12060546875,12.4453125,DeepLiftShap,convnext-t,STL10,1
3,0.015056329080834985,1075.24951171875,12.5390625,DeepLiftShap,convnext-t,STL10,1
4,0.014716457109898329,1075.24951171875,12.5390625,DeepLiftShap,convnext-t,STL10,1
5,0.01461812388151884,1075.24951171875,12.5390625,DeepLiftShap,convnext-t,STL10,1
6,0.014421976869925857,1075.24951171875,12.5390625,DeepLiftShap,convnext-t,STL10,1
7,0.014558679889887571,1075.24951171875,12.5390625,DeepLiftShap,convnext-t,STL10,1
8,0.014401690103113651,1075.24951171875,12.5390625,DeepLiftShap,convnext-t,STL10,1
9,0.014298502122983336,1075.24951171875,12.5390625,DeepLiftShap,convnext-t,STL10,1
10,0.014302085852250457,1075.24951171875,12.5390625,DeepLiftShap,convnext-t,STL10,1
11,0.014485683059319854,1075.24951171875,12.5390625,DeepLiftShap,convnext-t,STL10,1
12,0.01456962595693767,1075.24951171875,12.5390625,DeepLiftShap,convnext-t,STL10,1
13,0.014239400159567595,1075.24951171875,12.5390625,DeepLiftShap,convnext-t,STL10,1
14,0.014472933020442724,1075.24951171875,12.5390625,DeepLiftShap,convnext-t,STL10,1
15,0.014510928886011243,1075.24951171875,12.5390625,DeepLiftShap,convnext-t,STL10,1
16,0.014653926016762853,1075.24951171875,12.5390625,DeepLiftShap,convnext-t,STL10,1
17,0.01424791500903666,1075.24951171875,12.5390625,DeepLiftShap,convnext-t,STL10,1
18,0.014488559914752841,1075.24951171875,12.5390625,DeepLiftShap,convnext-t,STL10,1
19,0.01444780407473445,1075.24951171875,12.5390625,DeepLiftShap,convnext-t,STL10,1
20,0.014537719078361988,1075.24951171875,12.5390625,DeepLiftShap,convnext-t,STL10,1
21,0.015111085958778858,1075.24951171875,12.5390625,DeepLiftShap,convnext-t,STL10,1
22,0.014561892952769995,1075.24951171875,12.5390625,DeepLiftShap,convnext-t,STL10,1
23,0.014298898167908192,1075.24951171875,12.5390625,DeepLiftShap,convnext-t,STL10,1
24,0.014497301075607538,1075.24951171875,12.5390625,DeepLiftShap,convnext-t,STL10,1
25,0.014585872879251838,1075.24951171875,12.5390625,DeepLiftShap,convnext-t,STL10,1
26,0.014575032982975245,1075.24951171875,12.5390625,DeepLiftShap,convnext-t,STL10,1
27,0.01431760611012578,1075.24951171875,12.5390625,DeepLiftShap,convnext-t,STL10,1
28,0.014415906043723226,1075.24951171875,12.5390625,DeepLiftShap,convnext-t,STL10,1
29,0.01464266306720674,1075.24951171875,12.5390625,DeepLiftShap,convnext-t,STL10,1
30,0.014468055218458176,1075.24951171875,12.5390625,DeepLiftShap,convnext-t,STL10,1
31,0.014575369888916612,1075.24951171875,12.5390625,DeepLiftShap,convnext-t,STL10,1
32,0.01424857578240335,1075.24951171875,12.5390625,DeepLiftShap,convnext-t,STL10,1
33,0.014486063970252872,1075.24951171875,12.5390625,DeepLiftShap,convnext-t,STL10,1
34,0.014470103895291686,1075.24951171875,12.5390625,DeepLiftShap,convnext-t,STL10,1
