image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.11407007649540901,1356.49169921875,12.38671875,DeepLiftShap,densenet121,CIFAR10,1
1,0.11285717040300369,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
2,0.11331123858690262,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
3,0.11293143779039383,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
4,0.11143764853477478,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
5,0.11078085750341415,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
6,0.10953174158930779,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
7,0.1128796860575676,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
8,0.11286237463355064,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
9,0.11385462433099747,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
10,0.11128721758723259,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
11,0.11240170150995255,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
12,0.11389699578285217,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
13,0.11236106604337692,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
14,0.1135614849627018,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
15,0.11335458233952522,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
16,0.1137198805809021,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
17,0.11428288742899895,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
18,0.1107444204390049,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
19,0.11082400009036064,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
20,0.11286834627389908,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
21,0.10891743004322052,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
22,0.11253697797656059,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
23,0.11350740492343903,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
24,0.11317326501011848,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
25,0.10822190344333649,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
26,0.11306017637252808,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
27,0.11581610888242722,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
28,0.11282205954194069,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
29,0.11259852722287178,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
30,0.11301720142364502,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
31,0.11228326708078384,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
32,0.11383461579680443,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
33,0.11394520103931427,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
34,0.10600940883159637,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
35,0.11355336382985115,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
36,0.11311716958880424,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
37,0.1136162281036377,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
38,0.11412639543414116,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
39,0.11298494786024094,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
40,0.11375345289707184,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
41,0.11335362866520882,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
42,0.1125812940299511,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
43,0.11138388887047768,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
44,0.11235696822404861,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
45,0.11278986558318138,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
46,0.10833924636244774,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
47,0.10965649038553238,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
48,0.11048660799860954,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
49,0.10764255002140999,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
50,0.11464237421751022,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
51,0.11336081475019455,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
52,0.11137836426496506,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
53,0.10852598398923874,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
54,0.11186739429831505,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
55,0.1088826172053814,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
56,0.11266034469008446,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
57,0.11266854032874107,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
58,0.11421140655875206,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
59,0.1128307618200779,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
60,0.11319338530302048,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
61,0.11290919035673141,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
62,0.11285023018717766,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
63,0.11146240308880806,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
64,0.11359209567308426,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
65,0.11344306915998459,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
66,0.11379818245768547,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
67,0.11574486643075943,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
68,0.11290415748953819,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
69,0.11317167058587074,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
70,0.11303149536252022,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
71,0.11304325610399246,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
72,0.1087210513651371,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
73,0.11316066980361938,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
74,0.11396349966526031,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
75,0.11223547160625458,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
76,0.11322836205363274,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
77,0.11236891523003578,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
78,0.11197681352496147,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
79,0.11290513724088669,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
80,0.11284119263291359,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
81,0.10774047672748566,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
82,0.11301881447434425,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
83,0.1090465821325779,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
84,0.11383848637342453,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
85,0.11378681659698486,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
86,0.11268045753240585,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
87,0.11320007964968681,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
88,0.11406029760837555,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
89,0.11115412786602974,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
90,0.10459041222929955,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
91,0.1127285286784172,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
92,0.11084527894854546,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
93,0.11263490840792656,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
94,0.11266575008630753,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
95,0.11183617636561394,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
96,0.11245512217283249,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
97,0.11055619269609451,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
98,0.10980794206261635,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
99,0.11150187626481056,1356.98193359375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
