image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.03309574699960649,1348.5458984375,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
1,0.03859478887170553,1350.13671875,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
2,0.03840704797767103,1350.13671875,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
3,0.03838678589090705,1350.13671875,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
4,0.04072640300728381,1350.13671875,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
5,0.041257888078689575,1350.13671875,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
6,0.04066498903557658,1350.13671875,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
7,0.040967029985040426,1350.13671875,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
8,0.03949133702553809,1350.13671875,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
9,0.03812435013242066,1350.13671875,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
10,0.038431518943980336,1350.13671875,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
11,0.03831337206065655,1350.13671875,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
12,0.038176544941961765,1350.13671875,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
13,0.03797330381348729,1350.13671875,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
14,0.038311264012008905,1350.13671875,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
15,0.03778334893286228,1350.13671875,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
16,0.038720740005373955,1350.13671875,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
17,0.038221800001338124,1350.13671875,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
18,0.039198033045977354,1350.13671875,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
19,0.03827092098072171,1350.13671875,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
20,0.0380908758379519,1350.13671875,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
21,0.03801600495353341,1350.13671875,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
22,0.03825830412097275,1350.13671875,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
23,0.0398011920042336,1350.13671875,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
24,0.038759232964366674,1350.13671875,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
25,0.038725568912923336,1350.13671875,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
26,0.038191560888662934,1350.13671875,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
27,0.03948782291263342,1350.13671875,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
28,0.0384510790463537,1350.13671875,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
29,0.03870221599936485,1350.13671875,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
30,0.03832838800735772,1350.13671875,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
31,0.038284690817818046,1350.13671875,12.05859375,DeepLiftShap,densenet121,CIFAR10,1
