image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.12510133162140846,1357.56005859375,12.22265625,DeepLiftShap,densenet121,ImageNet,1
1,0.11119189113378525,1358.56298828125,12.05859375,DeepLiftShap,densenet121,ImageNet,1
2,0.1132688820362091,1358.56298828125,12.05859375,DeepLiftShap,densenet121,ImageNet,1
3,0.10741531476378441,1358.56298828125,12.05859375,DeepLiftShap,densenet121,ImageNet,1
4,0.1124202087521553,1358.56298828125,12.05859375,DeepLiftShap,densenet121,ImageNet,1
5,0.11161750182509422,1358.56298828125,12.05859375,DeepLiftShap,densenet121,ImageNet,1
6,0.11701589822769165,1358.56298828125,12.05859375,DeepLiftShap,densenet121,ImageNet,1
7,0.11086146533489227,1358.56298828125,12.05859375,DeepLiftShap,densenet121,ImageNet,1
8,0.11748447641730309,1358.56298828125,12.05859375,DeepLiftShap,densenet121,ImageNet,1
9,0.11000493913888931,1358.56298828125,12.05859375,DeepLiftShap,densenet121,ImageNet,1
10,0.11371390148997307,1358.56298828125,12.05859375,DeepLiftShap,densenet121,ImageNet,1
11,0.10826466977596283,1358.56298828125,12.05859375,DeepLiftShap,densenet121,ImageNet,1
12,0.1153029054403305,1358.56298828125,12.05859375,DeepLiftShap,densenet121,ImageNet,1
13,0.10822630301117897,1358.56298828125,12.05859375,DeepLiftShap,densenet121,ImageNet,1
14,0.11963408067822456,1358.56298828125,12.05859375,DeepLiftShap,densenet121,ImageNet,1
15,0.1121487207710743,1358.56298828125,12.05859375,DeepLiftShap,densenet121,ImageNet,1
16,0.1117803305387497,1358.56298828125,12.05859375,DeepLiftShap,densenet121,ImageNet,1
17,0.10864803940057755,1358.56298828125,12.05859375,DeepLiftShap,densenet121,ImageNet,1
18,0.111292265355587,1358.56298828125,12.05859375,DeepLiftShap,densenet121,ImageNet,1
19,0.11227608099579811,1358.56298828125,12.05859375,DeepLiftShap,densenet121,ImageNet,1
20,0.11160926148295403,1358.56298828125,12.05859375,DeepLiftShap,densenet121,ImageNet,1
21,0.1124381311237812,1358.56298828125,12.05859375,DeepLiftShap,densenet121,ImageNet,1
22,0.1122918464243412,1358.56298828125,12.05859375,DeepLiftShap,densenet121,ImageNet,1
23,0.1129380390048027,1358.56298828125,12.05859375,DeepLiftShap,densenet121,ImageNet,1
24,0.12397588044404984,1358.56298828125,12.05859375,DeepLiftShap,densenet121,ImageNet,1
