image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.033362583024427295,1348.5458984375,12.22265625,DeepLiftShap,densenet121,STL10,1
1,0.03786552115343511,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
2,0.037804488092660904,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
3,0.03830330306664109,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
4,0.03756979899480939,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
5,0.03932587709277868,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
6,0.04074620199389756,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
7,0.04045466287061572,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
8,0.04030262888409197,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
9,0.04008882399648428,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
10,0.03786989999935031,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
11,0.03815998695790768,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
12,0.037859912030398846,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
13,0.03871115203946829,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
14,0.03771684691309929,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
15,0.03982675517909229,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
16,0.03738873405382037,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
17,0.03727077413350344,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
18,0.036826621973887086,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
19,0.037915453081950545,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
20,0.038763761054724455,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
21,0.03795144287869334,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
22,0.037316294852644205,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
23,0.03740536095574498,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
24,0.03901482792571187,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
25,0.037654452957212925,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
26,0.0371840160805732,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
27,0.03807068895548582,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
28,0.03749586106278002,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
29,0.037396586034446955,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
30,0.03762251581065357,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
31,0.03747657407075167,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
32,0.03697864408604801,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
33,0.036929215071722865,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
34,0.03686862904578447,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
35,0.037603423930704594,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
36,0.03662592708133161,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
37,0.03691859496757388,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
38,0.03756646695546806,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
39,0.03709641005843878,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
40,0.037175299134105444,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
41,0.036914629163220525,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
42,0.03729649679735303,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
43,0.03711341600865126,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
44,0.036951171932742,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
45,0.037032312946394086,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
46,0.03735866118222475,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
47,0.03706845501437783,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
48,0.03712287195958197,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
49,0.037134510930627584,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
50,0.0370106881018728,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
51,0.0370844560675323,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
52,0.03684293292462826,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
53,0.03678110893815756,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
54,0.0367147121578455,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
55,0.03723680297844112,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
56,0.036891069961711764,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
57,0.03684363001957536,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
58,0.03720783186145127,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
59,0.041024537989869714,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
60,0.03940584510564804,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
61,0.03750395798124373,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
62,0.037017990136519074,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
63,0.03673469997011125,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
64,0.03640629700385034,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
65,0.03779437905177474,1349.97265625,12.05859375,DeepLiftShap,densenet121,STL10,1
