image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.03881843015551567,880.01025390625,12.38671875,DeepLiftShap,efficientnet-b0,CIFAR10,1
1,0.04563421756029129,878.99462890625,12.72265625,DeepLiftShap,efficientnet-b0,CIFAR10,1
2,0.044984232634305954,878.99462890625,12.72265625,DeepLiftShap,efficientnet-b0,CIFAR10,1
3,0.0462515763938427,878.99462890625,12.72265625,DeepLiftShap,efficientnet-b0,CIFAR10,1
4,0.04905886575579643,878.99462890625,12.72265625,DeepLiftShap,efficientnet-b0,CIFAR10,1
5,0.04631384462118149,878.99462890625,12.72265625,DeepLiftShap,efficientnet-b0,CIFAR10,1
6,0.04624871909618378,878.99462890625,12.72265625,DeepLiftShap,efficientnet-b0,CIFAR10,1
7,0.050645358860492706,878.99462890625,12.72265625,DeepLiftShap,efficientnet-b0,CIFAR10,1
8,0.0451861172914505,878.99462890625,12.72265625,DeepLiftShap,efficientnet-b0,CIFAR10,1
9,0.045918650925159454,878.99462890625,12.72265625,DeepLiftShap,efficientnet-b0,CIFAR10,1
10,0.04559622332453728,878.99462890625,12.72265625,DeepLiftShap,efficientnet-b0,CIFAR10,1
11,0.04501021280884743,878.99462890625,12.72265625,DeepLiftShap,efficientnet-b0,CIFAR10,1
12,0.04590611532330513,878.99462890625,12.72265625,DeepLiftShap,efficientnet-b0,CIFAR10,1
13,0.04602571949362755,878.99462890625,12.72265625,DeepLiftShap,efficientnet-b0,CIFAR10,1
14,0.04910919442772865,878.99462890625,12.72265625,DeepLiftShap,efficientnet-b0,CIFAR10,1
15,0.04768206179141998,878.99462890625,12.72265625,DeepLiftShap,efficientnet-b0,CIFAR10,1
16,0.046780917793512344,878.99462890625,12.72265625,DeepLiftShap,efficientnet-b0,CIFAR10,1
17,0.04788640886545181,878.99462890625,12.72265625,DeepLiftShap,efficientnet-b0,CIFAR10,1
18,0.046983182430267334,878.99462890625,12.72265625,DeepLiftShap,efficientnet-b0,CIFAR10,1
19,0.04774220287799835,878.99462890625,12.72265625,DeepLiftShap,efficientnet-b0,CIFAR10,1
20,0.048657193779945374,878.99462890625,12.72265625,DeepLiftShap,efficientnet-b0,CIFAR10,1
21,0.047882091253995895,878.99462890625,12.72265625,DeepLiftShap,efficientnet-b0,CIFAR10,1
22,0.046265970915555954,878.99462890625,12.72265625,DeepLiftShap,efficientnet-b0,CIFAR10,1
