image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.02220330690033734,973.64306640625,12.05859375,DeepLiftShap,efficientnet-b0,CIFAR10,1
1,0.02356969192624092,973.64306640625,12.05859375,DeepLiftShap,efficientnet-b0,CIFAR10,1
2,0.0237578428350389,973.64306640625,12.05859375,DeepLiftShap,efficientnet-b0,CIFAR10,1
3,0.024608518928289413,973.64306640625,12.05859375,DeepLiftShap,efficientnet-b0,CIFAR10,1
4,0.02338380995206535,973.64306640625,12.05859375,DeepLiftShap,efficientnet-b0,CIFAR10,1
5,0.022433809004724026,973.64306640625,12.05859375,DeepLiftShap,efficientnet-b0,CIFAR10,1
6,0.022527667926624417,973.64306640625,12.05859375,DeepLiftShap,efficientnet-b0,CIFAR10,1
7,0.02225789101794362,973.64306640625,12.05859375,DeepLiftShap,efficientnet-b0,CIFAR10,1
8,0.023653609910979867,973.64306640625,12.05859375,DeepLiftShap,efficientnet-b0,CIFAR10,1
9,0.023084439104422927,973.64306640625,12.05859375,DeepLiftShap,efficientnet-b0,CIFAR10,1
10,0.021959454054012895,973.64306640625,12.05859375,DeepLiftShap,efficientnet-b0,CIFAR10,1
11,0.022000852972269058,973.64306640625,12.05859375,DeepLiftShap,efficientnet-b0,CIFAR10,1
12,0.021793749881908298,973.64306640625,12.05859375,DeepLiftShap,efficientnet-b0,CIFAR10,1
13,0.023244879906997085,973.64306640625,12.05859375,DeepLiftShap,efficientnet-b0,CIFAR10,1
14,0.02254306199029088,973.64306640625,12.05859375,DeepLiftShap,efficientnet-b0,CIFAR10,1
15,0.022155936108902097,973.64306640625,12.05859375,DeepLiftShap,efficientnet-b0,CIFAR10,1
16,0.022228378104045987,973.64306640625,12.05859375,DeepLiftShap,efficientnet-b0,CIFAR10,1
17,0.021844204980880022,973.64306640625,12.05859375,DeepLiftShap,efficientnet-b0,CIFAR10,1
18,0.022198166931048036,973.64306640625,12.05859375,DeepLiftShap,efficientnet-b0,CIFAR10,1
19,0.021680678008124232,973.64306640625,12.05859375,DeepLiftShap,efficientnet-b0,CIFAR10,1
20,0.021568243158981204,973.64306640625,12.05859375,DeepLiftShap,efficientnet-b0,CIFAR10,1
21,0.021631898125633597,973.64306640625,12.05859375,DeepLiftShap,efficientnet-b0,CIFAR10,1
22,0.02160019800066948,973.64306640625,12.05859375,DeepLiftShap,efficientnet-b0,CIFAR10,1
23,0.021546141942963004,973.64306640625,12.05859375,DeepLiftShap,efficientnet-b0,CIFAR10,1
24,0.021659136982634664,973.64306640625,12.05859375,DeepLiftShap,efficientnet-b0,CIFAR10,1
25,0.02146964892745018,973.64306640625,12.05859375,DeepLiftShap,efficientnet-b0,CIFAR10,1
26,0.021612083073705435,973.64306640625,12.05859375,DeepLiftShap,efficientnet-b0,CIFAR10,1
27,0.021830487065017223,973.64306640625,12.05859375,DeepLiftShap,efficientnet-b0,CIFAR10,1
28,0.021672872127965093,973.64306640625,12.05859375,DeepLiftShap,efficientnet-b0,CIFAR10,1
29,0.021664072992280126,973.64306640625,12.05859375,DeepLiftShap,efficientnet-b0,CIFAR10,1
30,0.02150631695985794,973.64306640625,12.05859375,DeepLiftShap,efficientnet-b0,CIFAR10,1
31,0.021709981141611934,973.64306640625,12.05859375,DeepLiftShap,efficientnet-b0,CIFAR10,1
32,0.02161661279387772,973.64306640625,12.05859375,DeepLiftShap,efficientnet-b0,CIFAR10,1
33,0.021543367998674512,973.64306640625,12.05859375,DeepLiftShap,efficientnet-b0,CIFAR10,1
